#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1336848  0.3179603 -0.1470705  0.0595850 -0.6378290 -0.0018347  0.0000822 -0.3539660 -0.2463180
 0.4010544  0.2455638 -0.1822216  0.0138293 -0.4829624 -0.0004548 -0.0000652 -0.2887493 -0.2390611
 0.6684240  0.1953054 -0.1896608  0.0017055 -0.3975263 -0.0002409 -0.0000148 -0.2406605 -0.2312305
 0.9357936  0.1611631 -0.1861735 -0.0006851 -0.3424594  0.0000546  0.0000836 -0.2037366 -0.2226526
 1.2031631  0.1382207 -0.1813869 -0.0006215 -0.3039903 -0.0001542  0.0001332 -0.1754196 -0.2144491
 1.4705327  0.1199425 -0.1745370  0.0015249 -0.2744093 -0.0001207 -0.0000376 -0.1528358 -0.2065731
 1.7379023  0.1077314 -0.1679017  0.0036240 -0.2520346  0.0000522 -0.0000422 -0.1334338 -0.1993598
 2.0052719  0.0969937 -0.1622518  0.0055035 -0.2339313 -0.0000222  0.0000196 -0.1185085 -0.1928086
 2.2726415  0.0887101 -0.1564032  0.0077104 -0.2189767  0.0001404 -0.0000463 -0.1048444 -0.1861740
 2.5400111  0.0813008 -0.1510096  0.0088202 -0.2065810 -0.0000693 -0.0000958 -0.0931456 -0.1804920
 2.8073807  0.0765583 -0.1467893  0.0113085 -0.1953528 -0.0000517 -0.0000673 -0.0828438 -0.1748232
 3.0747503  0.0716915 -0.1418869  0.0108665 -0.1854468  0.0000956  0.0000209 -0.0749282 -0.1690379
 3.3421198  0.0669161 -0.1382621  0.0119615 -0.1775057 -0.0000151 -0.0000733 -0.0670038 -0.1635859
 3.6094894  0.0642047 -0.1345011  0.0122580 -0.1695814 -0.0000906  0.0001783 -0.0604265 -0.1581832
 3.8768590  0.0604227 -0.1307339  0.0128245 -0.1627110 -0.0000171  0.0000011 -0.0549065 -0.1533538
 4.1442286  0.0574428 -0.1279534  0.0129316 -0.1561656  0.0000210 -0.0000611 -0.0498681 -0.1496014
 4.4115982  0.0542239 -0.1257093  0.0136100 -0.1509767 -0.0000952  0.0000391 -0.0452900 -0.1449195
