#iter  Sign
1 0.5663332
2 0.5572841
3 0.5498889
4 0.5499431
5 0.5496983
6 0.5460829
7 0.5468440
8 0.5455222
9 0.5447731
10 0.5420267
11 0.5465479
12 0.5458535
13 0.5413820
14 0.5420051
15 0.5438499
16 0.5426775
17 0.5443704
18 0.5453845
19 0.5447344
20 0.5408031
21 0.5454044
22 0.5444300
23 0.5418122
24 0.5439842
25 0.5431454
26 0.5456531
27 0.5435154
28 0.5458479
29 0.5422192
30 0.5433372
31 0.5442772
32 0.5445361
33 0.5469619
34 0.5459848
35 0.5458525
36 0.5425540
37 0.5440080
38 0.5393100
39 0.5418694
40 0.5448155
41 0.5412416
42 0.5448178
43 0.5425255
44 0.5441724
45 0.5412311
46 0.5432138
47 0.5441740
48 0.5447573
49 0.5419793
50 0.5433169
51 0.5425594
52 0.5427713
53 0.5451934
54 0.5432115
55 0.5440884
56 0.5436251
57 0.5435802
58 0.5434115
59 0.5466667
60 0.5448243
61 0.5457025
62 0.5435929
63 0.5449666
64 0.5434082
