#defition of the sectors in Atomic.json

sector 33, state 10010110: N=4, Sz= 0, k0=0, k1=0
sector 33, state 11001100: N=4, Sz= 0, k0=0, k1=0
sector 33, state 00111100: N=4, Sz= 0, k0=0, k1=0
sector 33, state 11000011: N=4, Sz= 0, k0=0, k1=0

sector 34, state 00110100: N=3, Sz= 0, k0=1, k1=0
sector 34, state 01010010: N=3, Sz= 0, k0=1, k1=0
sector 34, state 10100010: N=3, Sz= 0, k0=1, k1=0
sector 34, state 10010001: N=3, Sz= 0, k0=1, k1=0
sector 34, state 01100001: N=3, Sz= 0, k0=1, k1=0
sector 34, state 11000100: N=3, Sz= 0, k0=1, k1=0

sector 35, state 00110101: N=4, Sz= 0, k0=1, k1=0
sector 35, state 01010011: N=4, Sz= 0, k0=1, k1=0
sector 35, state 10101100: N=4, Sz= 0, k0=1, k1=0
sector 35, state 10100011: N=4, Sz= 0, k0=1, k1=0
sector 35, state 01011100: N=4, Sz= 0, k0=1, k1=0
sector 35, state 00111010: N=4, Sz= 0, k0=1, k1=0
sector 35, state 11000101: N=4, Sz= 0, k0=1, k1=0
sector 35, state 11001010: N=4, Sz= 0, k0=1, k1=0

sector 36, state 00110110: N=4, Sz= 0, k0=1, k1=1
sector 36, state 01101100: N=4, Sz= 0, k0=1, k1=1
sector 36, state 10011100: N=4, Sz= 0, k0=1, k1=1
sector 36, state 10010011: N=4, Sz= 0, k0=1, k1=1
sector 36, state 01100011: N=4, Sz= 0, k0=1, k1=1
sector 36, state 11000110: N=4, Sz= 0, k0=1, k1=1
sector 36, state 00111001: N=4, Sz= 0, k0=1, k1=1
sector 36, state 11001001: N=4, Sz= 0, k0=1, k1=1

sector 37, state 00110111: N=5, Sz= 0, k0=1, k1=1
sector 37, state 01101101: N=5, Sz= 0, k0=1, k1=1
sector 37, state 10101110: N=5, Sz= 0, k0=1, k1=1
sector 37, state 10011101: N=5, Sz= 0, k0=1, k1=1
sector 37, state 01011110: N=5, Sz= 0, k0=1, k1=1
sector 37, state 11000111: N=5, Sz= 0, k0=1, k1=1

sector 38, state 00111000: N=3, Sz= 0, k0=1, k1=1
sector 38, state 01010001: N=3, Sz= 0, k0=1, k1=1
sector 38, state 10010010: N=3, Sz= 0, k0=1, k1=1
sector 38, state 10100001: N=3, Sz= 0, k0=1, k1=1
sector 38, state 01100010: N=3, Sz= 0, k0=1, k1=1
sector 38, state 11001000: N=3, Sz= 0, k0=1, k1=1

sector 39, state 00111011: N=5, Sz= 0, k0=1, k1=0
sector 39, state 01101110: N=5, Sz= 0, k0=1, k1=0
sector 39, state 10101101: N=5, Sz= 0, k0=1, k1=0
sector 39, state 01011101: N=5, Sz= 0, k0=1, k1=0
sector 39, state 10011110: N=5, Sz= 0, k0=1, k1=0
sector 39, state 11001011: N=5, Sz= 0, k0=1, k1=0

sector 40, state 00111101: N=5, Sz= 0, k0=0, k1=0
sector 40, state 10010111: N=5, Sz= 0, k0=0, k1=0
sector 40, state 01011011: N=5, Sz= 0, k0=0, k1=0
sector 40, state 10101011: N=5, Sz= 0, k0=0, k1=0
sector 40, state 01100111: N=5, Sz= 0, k0=0, k1=0
sector 40, state 11001101: N=5, Sz= 0, k0=0, k1=0

sector 41, state 00111110: N=5, Sz= 0, k0=0, k1=1
sector 41, state 01010111: N=5, Sz= 0, k0=0, k1=1
sector 41, state 10100111: N=5, Sz= 0, k0=0, k1=1
sector 41, state 10011011: N=5, Sz= 0, k0=0, k1=1
sector 41, state 01101011: N=5, Sz= 0, k0=0, k1=1
sector 41, state 11001110: N=5, Sz= 0, k0=0, k1=1

sector 42, state 00111111: N=6, Sz=-1, k0=0, k1=1
sector 42, state 11001111: N=6, Sz=-1, k0=0, k1=1

sector 43, state 01000000: N=1, Sz= 0, k0=1, k1=1

sector 44, state 01001111: N=5, Sz=-1, k0=1, k1=1

sector 45, state 01010000: N=2, Sz= 1, k0=1, k1=1
sector 45, state 10100000: N=2, Sz= 1, k0=1, k1=1

sector 46, state 01010110: N=4, Sz= 0, k0=0, k1=1
sector 46, state 10010101: N=4, Sz= 0, k0=0, k1=1
sector 46, state 01100101: N=4, Sz= 0, k0=0, k1=1
sector 46, state 01101010: N=4, Sz= 0, k0=0, k1=1
sector 46, state 10011010: N=4, Sz= 0, k0=0, k1=1
sector 46, state 10100110: N=4, Sz= 0, k0=0, k1=1
sector 46, state 01011001: N=4, Sz= 0, k0=0, k1=1
sector 46, state 10101001: N=4, Sz= 0, k0=0, k1=1

sector 47, state 01011111: N=6, Sz=-1, k0=1, k1=1
sector 47, state 10101111: N=6, Sz=-1, k0=1, k1=1

sector 48, state 01100000: N=2, Sz= 1, k0=1, k1=0
sector 48, state 10010000: N=2, Sz= 1, k0=1, k1=0

sector 49, state 01101111: N=6, Sz=-1, k0=1, k1=0
sector 49, state 10011111: N=6, Sz=-1, k0=1, k1=0

sector 50, state 01110000: N=3, Sz= 1, k0=1, k1=0

sector 51, state 01110001: N=4, Sz= 1, k0=1, k1=0
sector 51, state 10110010: N=4, Sz= 1, k0=1, k1=0
sector 51, state 11101000: N=4, Sz= 1, k0=1, k1=0
sector 51, state 11010100: N=4, Sz= 1, k0=1, k1=0

sector 52, state 01110010: N=4, Sz= 1, k0=1, k1=1
sector 52, state 10110001: N=4, Sz= 1, k0=1, k1=1
sector 52, state 11100100: N=4, Sz= 1, k0=1, k1=1
sector 52, state 11011000: N=4, Sz= 1, k0=1, k1=1

sector 53, state 01110011: N=5, Sz= 0, k0=1, k1=1
sector 53, state 11100101: N=5, Sz= 0, k0=1, k1=1
sector 53, state 11101010: N=5, Sz= 0, k0=1, k1=1
sector 53, state 11011001: N=5, Sz= 0, k0=1, k1=1
sector 53, state 11010110: N=5, Sz= 0, k0=1, k1=1
sector 53, state 01111100: N=5, Sz= 0, k0=1, k1=1

sector 54, state 01110100: N=4, Sz= 1, k0=0, k1=1
sector 54, state 11100010: N=4, Sz= 1, k0=0, k1=1
sector 54, state 10111000: N=4, Sz= 1, k0=0, k1=1
sector 54, state 11010001: N=4, Sz= 1, k0=0, k1=1

sector 55, state 01110101: N=5, Sz= 0, k0=0, k1=1
sector 55, state 10110110: N=5, Sz= 0, k0=0, k1=1
sector 55, state 11101100: N=5, Sz= 0, k0=0, k1=1
sector 55, state 11100011: N=5, Sz= 0, k0=0, k1=1
sector 55, state 10111001: N=5, Sz= 0, k0=0, k1=1
sector 55, state 01111010: N=5, Sz= 0, k0=0, k1=1

sector 56, state 01110110: N=5, Sz= 0, k0=0, k1=0
sector 56, state 10110101: N=5, Sz= 0, k0=0, k1=0
sector 56, state 11011100: N=5, Sz= 0, k0=0, k1=0
sector 56, state 10111010: N=5, Sz= 0, k0=0, k1=0
sector 56, state 11010011: N=5, Sz= 0, k0=0, k1=0
sector 56, state 01111001: N=5, Sz= 0, k0=0, k1=0

sector 57, state 01110111: N=6, Sz= 0, k0=0, k1=0
sector 57, state 11101110: N=6, Sz= 0, k0=0, k1=0
sector 57, state 11011101: N=6, Sz= 0, k0=0, k1=0
sector 57, state 10111011: N=6, Sz= 0, k0=0, k1=0

sector 58, state 01111000: N=4, Sz= 1, k0=0, k1=0
sector 58, state 11010010: N=4, Sz= 1, k0=0, k1=0
sector 58, state 11100001: N=4, Sz= 1, k0=0, k1=0
sector 58, state 10110100: N=4, Sz= 1, k0=0, k1=0

sector 59, state 01111011: N=6, Sz= 0, k0=0, k1=1
sector 59, state 11101101: N=6, Sz= 0, k0=0, k1=1
sector 59, state 10110111: N=6, Sz= 0, k0=0, k1=1
sector 59, state 11011110: N=6, Sz= 0, k0=0, k1=1

sector 60, state 01111101: N=6, Sz= 0, k0=1, k1=1
sector 60, state 11010111: N=6, Sz= 0, k0=1, k1=1
sector 60, state 10111110: N=6, Sz= 0, k0=1, k1=1
sector 60, state 11101011: N=6, Sz= 0, k0=1, k1=1

sector 61, state 01111110: N=6, Sz= 0, k0=1, k1=0
sector 61, state 10111101: N=6, Sz= 0, k0=1, k1=0
sector 61, state 11100111: N=6, Sz= 0, k0=1, k1=0
sector 61, state 11011011: N=6, Sz= 0, k0=1, k1=0

