#iter  k
1 51.6268703
2 52.3819648
3 52.8308373
4 53.1046459
5 53.2477007
6 53.3720105
7 53.4402658
8 53.4904662
9 53.5401486
10 53.5248131
11 53.5335861
12 53.5920878
13 53.5894953
14 53.5825437
15 53.5800600
16 53.5751075
17 53.5332223
18 53.5583321
19 53.5758772
20 53.5766968
21 53.5587890
22 53.5903492
23 53.5480320
24 53.5853309
25 53.5802342
26 53.5764859
27 53.5584122
28 53.5262584
29 53.5416332
30 53.5431147
31 53.5634790
32 53.5546572
33 53.5050607
34 53.5911223
35 53.6674681
36 53.6708335
37 53.6799024
38 53.6392942
39 53.5684159
40 53.5941645
41 53.5877169
42 53.5875355
43 53.5687992
44 53.5566899
45 53.6105545
46 53.6109098
47 53.5679894
48 53.5800119
49 53.5960966
50 53.6034156
51 53.5426332
52 53.5343091
53 53.5782745
54 53.5742191
55 53.5801722
56 53.6283959
57 53.6072955
58 53.5839697
59 53.5659109
60 53.5506792
61 53.5512220
62 53.6112032
63 53.6110519
64 53.5908130
