#iter  Observable_U
1 0.5227397
2 0.5305485
3 0.5347760
4 0.5388251
5 0.5401287
6 0.5413335
7 0.5434265
8 0.5429765
9 0.5429671
10 0.5433377
11 0.5429923
12 0.5435587
13 0.5431624
14 0.5426553
15 0.5447119
16 0.5445304
17 0.5432678
18 0.5424319
19 0.5409614
20 0.5426359
21 0.5429437
22 0.5429032
23 0.5425661
24 0.5450094
25 0.5436651
26 0.5429734
27 0.5438906
28 0.5426361
29 0.5448955
30 0.5437578
31 0.5421612
32 0.5431427
33 0.5453448
34 0.5428501
35 0.5436512
36 0.5446111
37 0.5438935
38 0.5416195
39 0.5438142
40 0.5443063
41 0.5437322
42 0.5423020
43 0.5421039
44 0.5414108
45 0.5446195
46 0.5444749
47 0.5429473
48 0.5442899
49 0.5429707
50 0.5448724
51 0.5427911
52 0.5437709
53 0.5425574
54 0.5428080
55 0.5440063
56 0.5425556
57 0.5442133
58 0.5436979
59 0.5436047
60 0.5420560
61 0.5434147
62 0.5459408
63 0.5457117
64 0.5436620
