#iter  E
1 -22.6426248
2 -22.6234797
3 -22.6104253
4 -22.6042705
5 -22.5971123
6 -22.5969856
7 -22.5944105
8 -22.5979286
9 -22.5974658
10 -22.5920955
11 -22.5959757
12 -22.5929624
13 -22.5955073
14 -22.5975279
15 -22.5933893
16 -22.5944132
17 -22.5902759
18 -22.5920011
19 -22.5963330
20 -22.5956031
21 -22.5927452
22 -22.5884855
23 -22.5931338
24 -22.5926502
25 -22.5997638
26 -22.5980168
27 -22.5971660
28 -22.5924739
29 -22.5950574
30 -22.5965025
31 -22.5930784
32 -22.5964162
33 -22.5949709
34 -22.5939087
35 -22.5962859
36 -22.5929764
37 -22.5924569
38 -22.5970158
39 -22.5932057
40 -22.5925906
41 -22.5952809
42 -22.5934258
43 -22.5926591
44 -22.5905109
45 -22.5934116
46 -22.5926141
47 -22.6008336
48 -22.5937386
49 -22.5960060
50 -22.5980546
51 -22.5902189
52 -22.5920393
53 -22.5938489
54 -22.5947589
55 -22.5979721
56 -22.5985157
57 -22.5966887
58 -22.5960765
59 -22.5928380
60 -22.5911843
61 -22.5992138
62 -22.5981810
63 -22.5962010
64 -22.5955590
