#iter  Observable_U
1 0.5523640
2 0.5607630
3 0.5640872
4 0.5661528
5 0.5683898
6 0.5682711
7 0.5702299
8 0.5670880
9 0.5683048
10 0.5703488
11 0.5697647
12 0.5700088
13 0.5701025
14 0.5700810
15 0.5688302
16 0.5702377
17 0.5691661
18 0.5707457
19 0.5681383
20 0.5708605
21 0.5691386
22 0.5717150
23 0.5703136
24 0.5714414
25 0.5693887
26 0.5690103
27 0.5693297
28 0.5694161
29 0.5694310
30 0.5704665
31 0.5703865
32 0.5686072
33 0.5706253
34 0.5697463
35 0.5685349
36 0.5696654
37 0.5711173
38 0.5699400
39 0.5708176
40 0.5686031
41 0.5698034
42 0.5699758
43 0.5712847
44 0.5716656
45 0.5711594
46 0.5697999
47 0.5672872
48 0.5691616
49 0.5703606
50 0.5681979
51 0.5702316
52 0.5702611
53 0.5688438
54 0.5712215
55 0.5690220
56 0.5682786
57 0.5693600
58 0.5695550
59 0.5683827
60 0.5703012
61 0.5681655
62 0.5685047
63 0.5696322
64 0.5696746
