#iter  N
1 1.0936854
2 1.0955303
3 1.0967509
4 1.0972191
5 1.0976153
6 1.0976941
7 1.0978707
8 1.0977454
9 1.0978253
10 1.0980408
11 1.0980767
12 1.0980597
13 1.0980991
14 1.0979403
15 1.0980443
16 1.0979220
17 1.0980590
18 1.0979988
19 1.0981357
20 1.0981026
21 1.0980112
22 1.0981586
23 1.0980492
24 1.0980821
25 1.0979864
26 1.0978487
27 1.0977998
28 1.0978200
29 1.0980813
30 1.0979654
31 1.0978660
32 1.0979679
33 1.0979754
34 1.0979386
35 1.0978882
36 1.0980422
37 1.0979751
38 1.0977654
39 1.0979587
40 1.0979226
41 1.0979764
42 1.0980084
43 1.0981601
44 1.0983116
45 1.0981552
46 1.0979080
47 1.0979015
48 1.0978037
49 1.0979776
50 1.0978964
51 1.0980714
52 1.0981351
53 1.0980066
54 1.0979430
55 1.0977434
56 1.0978693
57 1.0978336
58 1.0978558
59 1.0977810
60 1.0978432
61 1.0977712
62 1.0978779
63 1.0979628
64 1.0979088
