#w_matsubara  SzSz   
 0.0000000  1.5071348
 0.2855993  0.6864048
 0.5711987  0.4007627
 0.8567980  0.2686488
 1.1423973  0.1937844
 1.4279967  0.1475239
 1.7135960  0.1167342
 1.9991953  0.0946782
 2.2847947  0.0788086
 2.5703940  0.0666659
 2.8559933  0.0574771
 3.1415927  0.0497139
 3.4271920  0.0437057
 3.7127913  0.0387203
 3.9983907  0.0346884
 4.2839900  0.0311175
 4.5695893  0.0281338
 4.8551886  0.0255984
 5.1407880  0.0233923
 5.4263873  0.0214699
 5.7119866  0.0197046
 5.9975860  0.0182333
 6.2831853  0.0168852
 6.5687846  0.0157240
 6.8543840  0.0146546
 7.1399833  0.0137033
 7.4255826  0.0128203
 7.7111820  0.0120079
 7.9967813  0.0113229
 8.2823806  0.0106779
 8.5679800  0.0100734
 8.8535793  0.0095296
 9.1391786  0.0089963
 9.4247780  0.0085303
 9.7103773  0.0080902
 9.9959766  0.0077179
 10.2815760  0.0073444
 10.5671753  0.0070001
 10.8527746  0.0066872
 11.1383740  0.0063756
 11.4239733  0.0061129
 11.7095726  0.0058373
 11.9951720  0.0055797
 12.2807713  0.0053603
 12.5663706  0.0051522
 12.8519699  0.0049421
 13.1375693  0.0047655
 13.4231686  0.0045756
 13.7087679  0.0044022
 13.9943673  0.0042260
 14.2799666  0.0040778
 14.5655659  0.0039278
 14.8511653  0.0037955
 15.1367646  0.0036680
 15.4223639  0.0035485
 15.7079633  0.0034277
 15.9935626  0.0033230
 16.2791619  0.0032049
 16.5647613  0.0031148
 16.8503606  0.0030075
 17.1359599  0.0029160
 17.4215593  0.0028275
 17.7071586  0.0027465
 17.9927579  0.0026616
 18.2783573  0.0025804
 18.5639566  0.0025103
 18.8495559  0.0024350
 19.1351553  0.0023736
 19.4207546  0.0023034
 19.7063539  0.0022410
 19.9919533  0.0021876
 20.2775526  0.0021212
 20.5631519  0.0020643
 20.8487512  0.0020187
 21.1343506  0.0019652
 21.4199499  0.0019174
 21.7055492  0.0018655
 21.9911486  0.0018242
 22.2767479  0.0017802
 22.5623472  0.0017375
 22.8479466  0.0016934
 23.1335459  0.0016525
 23.4191452  0.0016169
 23.7047446  0.0015815
 23.9903439  0.0015440
 24.2759432  0.0015098
 24.5615426  0.0014738
 24.8471419  0.0014411
 25.1327412  0.0014073
 25.4183406  0.0013800
 25.7039399  0.0013526
 25.9895392  0.0013209
 26.2751386  0.0012932
 26.5607379  0.0012705
 26.8463372  0.0012451
 27.1319366  0.0012193
 27.4175359  0.0011958
 27.7031352  0.0011695
 27.9887346  0.0011458
 28.2743339  0.0011240
 28.5599332  0.0011030
 28.8455325  0.0010809
 29.1311319  0.0010625
 29.4167312  0.0010434
 29.7023305  0.0010243
 29.9879299  0.0010032
 30.2735292  0.0009834
 30.5591285  0.0009682
 30.8447279  0.0009516
 31.1303272  0.0009339
 31.4159265  0.0009168
 31.7015259  0.0009022
 31.9871252  0.0008867
 32.2727245  0.0008697
 32.5583239  0.0008542
 32.8439232  0.0008412
 33.1295225  0.0008256
 33.4151219  0.0008133
 33.7007212  0.0007994
 33.9863205  0.0007858
 34.2719199  0.0007734
 34.5575192  0.0007615
 34.8431185  0.0007486
 35.1287179  0.0007376
 35.4143172  0.0007256
 35.6999165  0.0007145
 35.9855159  0.0007016
 36.2711152  0.0006920
 36.5567145  0.0006814
 36.8423138  0.0006710
 37.1279132  0.0006616
 37.4135125  0.0006509
 37.6991118  0.0006438
 37.9847112  0.0006334
 38.2703105  0.0006235
 38.5559098  0.0006155
 38.8415092  0.0006054
 39.1271085  0.0005962
 39.4127078  0.0005881
 39.6983072  0.0005812
 39.9839065  0.0005712
