#w_matsubara  SzSz   
 0.0000000  1.5286222
 0.2855993  0.6854646
 0.5711987  0.4004062
 0.8567980  0.2675092
 1.1423973  0.1927983
 1.4279967  0.1470218
 1.7135960  0.1165651
 1.9991953  0.0945973
 2.2847947  0.0785544
 2.5703940  0.0664957
 2.8559933  0.0571725
 3.1415927  0.0496931
 3.4271920  0.0436764
 3.7127913  0.0386690
 3.9983907  0.0345662
 4.2839900  0.0310887
 4.5695893  0.0281092
 4.8551886  0.0255166
 5.1407880  0.0233351
 5.4263873  0.0214040
 5.7119866  0.0196864
 5.9975860  0.0182212
 6.2831853  0.0168540
 6.5687846  0.0156710
 6.8543840  0.0146534
 7.1399833  0.0136781
 7.4255826  0.0127904
 7.7111820  0.0120325
 7.9967813  0.0112993
 8.2823806  0.0106634
 8.5679800  0.0100428
 8.8535793  0.0095137
 9.1391786  0.0089948
 9.4247780  0.0085408
 9.7103773  0.0081005
 9.9959766  0.0077011
 10.2815760  0.0073328
 10.5671753  0.0069772
 10.8527746  0.0066741
 11.1383740  0.0063727
 11.4239733  0.0060861
 11.7095726  0.0058328
 11.9951720  0.0055840
 12.2807713  0.0053517
 12.5663706  0.0051312
 12.8519699  0.0049285
 13.1375693  0.0047369
 13.4231686  0.0045683
 13.7087679  0.0043826
 13.9943673  0.0042291
 14.2799666  0.0040711
 14.5655659  0.0039335
 14.8511653  0.0037964
 15.1367646  0.0036579
 15.4223639  0.0035389
 15.7079633  0.0034180
 15.9935626  0.0033086
 16.2791619  0.0032062
 16.5647613  0.0031021
 16.8503606  0.0030075
 17.1359599  0.0029110
 17.4215593  0.0028169
 17.7071586  0.0027393
 17.9927579  0.0026539
 18.2783573  0.0025849
 18.5639566  0.0025090
 18.8495559  0.0024307
 19.1351553  0.0023680
 19.4207546  0.0022981
 19.7063539  0.0022421
 19.9919533  0.0021783
 20.2775526  0.0021191
 20.5631519  0.0020655
 20.8487512  0.0020074
 21.1343506  0.0019638
 21.4199499  0.0019143
 21.7055492  0.0018640
 21.9911486  0.0018178
 22.2767479  0.0017743
 22.5623472  0.0017333
 22.8479466  0.0016925
 23.1335459  0.0016527
 23.4191452  0.0016132
 23.7047446  0.0015762
 23.9903439  0.0015406
 24.2759432  0.0015057
 24.5615426  0.0014725
 24.8471419  0.0014400
 25.1327412  0.0014078
 25.4183406  0.0013803
 25.7039399  0.0013496
 25.9895392  0.0013211
 26.2751386  0.0012928
 26.5607379  0.0012692
 26.8463372  0.0012407
 27.1319366  0.0012154
 27.4175359  0.0011923
 27.7031352  0.0011675
 27.9887346  0.0011424
 28.2743339  0.0011225
 28.5599332  0.0010985
 28.8455325  0.0010793
 29.1311319  0.0010576
 29.4167312  0.0010397
 29.7023305  0.0010173
 29.9879299  0.0010012
 30.2735292  0.0009836
 30.5591285  0.0009643
 30.8447279  0.0009477
 31.1303272  0.0009316
 31.4159265  0.0009143
 31.7015259  0.0008968
 31.9871252  0.0008814
 32.2727245  0.0008688
 32.5583239  0.0008538
 32.8439232  0.0008381
 33.1295225  0.0008257
 33.4151219  0.0008115
 33.7007212  0.0007992
 33.9863205  0.0007854
 34.2719199  0.0007707
 34.5575192  0.0007603
 34.8431185  0.0007465
 35.1287179  0.0007369
 35.4143172  0.0007250
 35.6999165  0.0007119
 35.9855159  0.0007011
 36.2711152  0.0006894
 36.5567145  0.0006789
 36.8423138  0.0006698
 37.1279132  0.0006608
 37.4135125  0.0006500
 37.6991118  0.0006405
 37.9847112  0.0006307
 38.2703105  0.0006209
 38.5559098  0.0006121
 38.8415092  0.0006034
 39.1271085  0.0005958
 39.4127078  0.0005870
 39.6983072  0.0005789
 39.9839065  0.0005715
