#iter  Sign
1 0.6025335
2 0.5978404
3 0.5945791
4 0.5895973
5 0.5912788
6 0.5883621
7 0.5902035
8 0.5897820
9 0.5905868
10 0.5914467
11 0.5921875
12 0.5908942
13 0.5910026
14 0.5882961
15 0.5929128
16 0.5914050
17 0.5899324
18 0.5901363
19 0.5862709
20 0.5914153
21 0.5898140
22 0.5919593
23 0.5922195
24 0.5926496
25 0.5911970
26 0.5915438
27 0.5919954
28 0.5925107
29 0.5927221
30 0.5891574
31 0.5905130
32 0.5923440
33 0.5897908
34 0.5909315
35 0.5878994
36 0.5944789
37 0.5960287
38 0.5887013
39 0.5913493
40 0.5914108
41 0.5898574
42 0.5918859
43 0.5905584
44 0.5912273
45 0.5908510
46 0.5899998
47 0.5889171
48 0.5899854
49 0.5937389
50 0.5885123
51 0.5923860
52 0.5925430
53 0.5879637
54 0.5926862
55 0.5919903
56 0.5957693
57 0.5910663
58 0.5908055
59 0.5893655
60 0.5926265
61 0.5892361
62 0.5908108
63 0.5928191
64 0.5938666
