#iter  k
1 39.6551825
2 40.2074641
3 40.5659918
4 40.7283444
5 40.8302432
6 40.8746897
7 40.9186570
8 40.8991877
9 40.9185938
10 40.9469151
11 40.9860139
12 40.9703630
13 40.9735651
14 40.9554446
15 40.9785978
16 40.9585189
17 41.0027295
18 40.9830577
19 40.9865042
20 40.9931153
21 40.9907122
22 41.0113005
23 40.9728411
24 40.9632928
25 40.9490100
26 40.9391647
27 40.9211388
28 40.9151054
29 40.9611125
30 40.9570812
31 40.9593354
32 40.9742032
33 40.9663643
34 40.9290753
35 40.9288992
36 40.9536016
37 40.9445905
38 40.9137807
39 40.9373648
40 40.9351547
41 40.9683114
42 40.9769202
43 40.9846926
44 41.0203240
45 41.0144617
46 40.9604921
47 40.9507779
48 40.9220244
49 40.9368007
50 40.9484970
51 40.9631749
52 41.0048319
53 40.9903012
54 40.9619791
55 40.9241831
56 40.9380763
57 40.9187356
58 40.9206757
59 40.9047261
60 40.9216064
61 40.9123289
62 40.9307937
63 40.9827377
64 40.9756662
