#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 14.9939649  0.0115438 -0.0603099  0.0051909 -0.0617436  0.0000424  0.0000634 -0.0040540 -0.0624264
 15.2795643  0.0115486 -0.0593874  0.0044070 -0.0607083 -0.0000490 -0.0001052 -0.0048095 -0.0612459
 15.5651636  0.0106513 -0.0577413  0.0036269 -0.0602539  0.0000708 -0.0000823 -0.0039758 -0.0605243
 15.8507629  0.0113194 -0.0572303  0.0051247 -0.0585113 -0.0000158  0.0001351 -0.0036734 -0.0599923
 16.1363623  0.0105468 -0.0566954  0.0039894 -0.0583463 -0.0000290  0.0000664 -0.0038427 -0.0591216
 16.4219616  0.0101908 -0.0563403  0.0037234 -0.0570543 -0.0000083 -0.0000378 -0.0031214 -0.0576368
 16.7075609  0.0098943 -0.0548464  0.0039469 -0.0559388 -0.0000461  0.0000997 -0.0033859 -0.0568164
 16.9931603  0.0097661 -0.0541078  0.0039312 -0.0556510  0.0000560  0.0000319 -0.0029154 -0.0559917
 17.2787596  0.0090127 -0.0534043  0.0037558 -0.0545736 -0.0000199  0.0001272 -0.0024032 -0.0545505
 17.5643589  0.0087144 -0.0530887  0.0038340 -0.0538359  0.0000427 -0.0000935 -0.0025218 -0.0535128
 17.8499583  0.0092002 -0.0519678  0.0035860 -0.0530395 -0.0001810  0.0000018 -0.0033987 -0.0534058
 18.1355576  0.0083907 -0.0507720  0.0030331 -0.0519907  0.0001467  0.0000609 -0.0028168 -0.0527874
 18.4211569  0.0083037 -0.0506177  0.0039534 -0.0512933 -0.0001387 -0.0001572 -0.0022804 -0.0523620
 18.7067563  0.0077477 -0.0490030  0.0033450 -0.0507382 -0.0000570 -0.0001956 -0.0023962 -0.0509569
 18.9923556  0.0082759 -0.0493937  0.0035615 -0.0501983 -0.0001036 -0.0000037 -0.0029012 -0.0501139
 19.2779549  0.0074481 -0.0486402  0.0031728 -0.0493837  0.0000204  0.0001121 -0.0022578 -0.0495171
 19.5635543  0.0073442 -0.0476215  0.0025963 -0.0486605  0.0000028 -0.0000079 -0.0023909 -0.0493467
 19.8491536  0.0073415 -0.0471190  0.0033515 -0.0484555  0.0001483  0.0000068 -0.0018442 -0.0483348
 20.1347529  0.0071220 -0.0470211  0.0031195 -0.0477799  0.0000329 -0.0000137 -0.0018577 -0.0479116
 20.4203522  0.0069926 -0.0460846  0.0022732 -0.0464178 -0.0000736  0.0000269 -0.0018703 -0.0471125
 20.7059516  0.0064667 -0.0460385  0.0027319 -0.0459558 -0.0000777 -0.0000895 -0.0018102 -0.0464924
 20.9915509  0.0064501 -0.0449448  0.0025787 -0.0458458 -0.0000902  0.0000811 -0.0017181 -0.0457455
 21.2771502  0.0064659 -0.0444280  0.0026473 -0.0446914 -0.0000337 -0.0000138 -0.0016700 -0.0450897
 21.5627496  0.0056963 -0.0448878  0.0020639 -0.0441389  0.0000095 -0.0000509 -0.0020647 -0.0446231
 21.8483489  0.0062579 -0.0433061  0.0020105 -0.0442172 -0.0000026  0.0000095 -0.0014325 -0.0442201
 22.1339482  0.0054523 -0.0425988  0.0024761 -0.0433437  0.0000534  0.0000310 -0.0018907 -0.0437809
 22.4195476  0.0065313 -0.0417815  0.0022219 -0.0428259  0.0000986  0.0001247 -0.0020734 -0.0429142
 22.7051469  0.0056457 -0.0422240  0.0018417 -0.0422855  0.0000895 -0.0000460 -0.0019141 -0.0427921
 22.9907462  0.0050318 -0.0413078  0.0023452 -0.0424788  0.0000358  0.0000506 -0.0017684 -0.0423827
 23.2763456  0.0052299 -0.0414263  0.0024656 -0.0410964 -0.0001132  0.0000080 -0.0017357 -0.0410717
 23.5619449  0.0048287 -0.0404455  0.0014132 -0.0413690  0.0000904  0.0000412 -0.0013554 -0.0409286
 23.8475442  0.0051132 -0.0401258  0.0019560 -0.0405801  0.0000243 -0.0000535 -0.0021871 -0.0407262
 24.1331436  0.0054277 -0.0392349  0.0021157 -0.0398038 -0.0001520 -0.0000564 -0.0017954 -0.0402435
 24.4187429  0.0044741 -0.0391188  0.0015874 -0.0394946 -0.0000867 -0.0000868 -0.0011489 -0.0398098
 24.7043422  0.0042651 -0.0381643  0.0016958 -0.0385555 -0.0001161  0.0000241 -0.0015615 -0.0392133
 24.9899416  0.0044375 -0.0381857  0.0021470 -0.0388611 -0.0000245 -0.0001870 -0.0018724 -0.0387782
 25.2755409  0.0047611 -0.0376204  0.0015479 -0.0380686  0.0000917  0.0000528 -0.0013058 -0.0383958
 25.5611402  0.0043316 -0.0373098  0.0019017 -0.0375097  0.0000056 -0.0001225 -0.0011484 -0.0384680
 25.8467396  0.0046411 -0.0369492  0.0019276 -0.0373088 -0.0001201 -0.0000048 -0.0011647 -0.0378918
 26.1323389  0.0045411 -0.0366740  0.0017909 -0.0379797  0.0000361 -0.0001178 -0.0007120 -0.0371995
 26.4179382  0.0050722 -0.0367727  0.0015912 -0.0367382  0.0000066  0.0001960 -0.0011196 -0.0366967
 26.7035376  0.0048507 -0.0363605  0.0018910 -0.0374176 -0.0000154 -0.0000326 -0.0011930 -0.0367290
 26.9891369  0.0045511 -0.0359939  0.0017580 -0.0363438 -0.0000442 -0.0000465 -0.0011974 -0.0361844
 27.2747362  0.0042410 -0.0355685  0.0015054 -0.0364937 -0.0000306  0.0000730 -0.0008936 -0.0362700
 27.5603356  0.0042047 -0.0346185  0.0008952 -0.0356976 -0.0000191  0.0000761 -0.0010815 -0.0352920
 27.8459349  0.0041656 -0.0348816  0.0013486 -0.0350637  0.0001062 -0.0000338 -0.0011081 -0.0351009
 28.1315342  0.0038485 -0.0343392  0.0013241 -0.0349917  0.0000710 -0.0000493 -0.0009741 -0.0345463
 28.4171335  0.0040104 -0.0348778  0.0017565 -0.0340709 -0.0000034 -0.0000670 -0.0008688 -0.0347152
 28.7027329  0.0029855 -0.0345595  0.0019222 -0.0334246  0.0000513 -0.0002407 -0.0007558 -0.0340280
 28.9883322  0.0032294 -0.0332164  0.0012917 -0.0335312  0.0000207 -0.0000370 -0.0009756 -0.0338914
 29.2739315  0.0034241 -0.0331976  0.0015158 -0.0330384 -0.0000658 -0.0000516 -0.0011307 -0.0337487
 29.5595309  0.0031780 -0.0328688  0.0015833 -0.0334936  0.0000399  0.0001019 -0.0007834 -0.0328855
 29.8451302  0.0025212 -0.0328935  0.0016575 -0.0331428  0.0001011  0.0001791 -0.0006892 -0.0331091
 30.1307295  0.0032755 -0.0314953  0.0017808 -0.0325063 -0.0000596 -0.0000103 -0.0007895 -0.0329715
 30.4163289  0.0025851 -0.0317358  0.0012998 -0.0316251  0.0000669  0.0001150 -0.0001022 -0.0324546
 30.7019282  0.0034926 -0.0310607  0.0014385 -0.0320779 -0.0000075  0.0001825 -0.0003803 -0.0326526
 30.9875275  0.0031574 -0.0308158  0.0012401 -0.0315125 -0.0001423  0.0000679 -0.0005336 -0.0319131
 31.2731269  0.0030953 -0.0312025  0.0017910 -0.0308898  0.0000592  0.0000452 -0.0004927 -0.0312189
 31.5587262  0.0025829 -0.0307440  0.0012796 -0.0309608 -0.0000719  0.0000640 -0.0008893 -0.0313783
 31.8443255  0.0027657 -0.0307545  0.0008980 -0.0314084 -0.0001087 -0.0001971 -0.0006231 -0.0306267
 32.1299249  0.0029913 -0.0301023  0.0011181 -0.0303039  0.0000105 -0.0000070 -0.0006714 -0.0302945
 32.4155242  0.0032984 -0.0296915  0.0013407 -0.0300246  0.0000245  0.0000522 -0.0009109 -0.0305095
 32.7011235  0.0026471 -0.0293660  0.0009546 -0.0301205 -0.0000285 -0.0000907 -0.0006669 -0.0300372
 32.9867229  0.0025726 -0.0294450  0.0012469 -0.0301588  0.0000149 -0.0002044 -0.0006096 -0.0297768
 33.2723222  0.0023777 -0.0291822  0.0008783 -0.0293546 -0.0000085 -0.0000257 -0.0003241 -0.0292730
 33.5579215  0.0031367 -0.0286165  0.0009915 -0.0292365  0.0000673 -0.0000116 -0.0006159 -0.0292476
 33.8435209  0.0027080 -0.0280736  0.0009707 -0.0291912 -0.0000389 -0.0000736 -0.0005014 -0.0287355
 34.1291202  0.0024847 -0.0284061  0.0010604 -0.0283725  0.0000240  0.0000410 -0.0000436 -0.0289728
 34.4147195  0.0027018 -0.0280066  0.0007492 -0.0286411 -0.0000485 -0.0001493 -0.0007974 -0.0286261
