#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1308997  0.3194675 -0.1475338  0.0603062 -0.6405543 -0.0027847  0.0000013 -0.3552061 -0.2478466
 0.3926991  0.2470727 -0.1820046  0.0139777 -0.4863090 -0.0006299 -0.0001548 -0.2912780 -0.2401519
 0.6544985  0.1978649 -0.1890687  0.0019360 -0.4019817 -0.0003254 -0.0001673 -0.2428955 -0.2320653
 0.9162979  0.1642639 -0.1869281 -0.0012108 -0.3462003 -0.0001860 -0.0000510 -0.2066476 -0.2234826
 1.1780972  0.1395364 -0.1818072 -0.0012201 -0.3076488 -0.0000146  0.0001355 -0.1782987 -0.2155083
 1.4398966  0.1214924 -0.1753279  0.0005378 -0.2789690  0.0001542 -0.0000529 -0.1550483 -0.2078468
 1.7016960  0.1083090 -0.1691330  0.0029790 -0.2550060 -0.0000648 -0.0000081 -0.1359699 -0.2006193
 1.9634954  0.0977077 -0.1620664  0.0058277 -0.2369003 -0.0001088  0.0000055 -0.1206737 -0.1936347
 2.2252948  0.0893181 -0.1568568  0.0071509 -0.2216405  0.0000200 -0.0000190 -0.1074691 -0.1877833
 2.4870942  0.0829364 -0.1515093  0.0084290 -0.2090528  0.0001246  0.0000359 -0.0959267 -0.1812973
 2.7488936  0.0777421 -0.1469199  0.0096416 -0.1973054 -0.0000039 -0.0000948 -0.0856933 -0.1757790
 3.0106930  0.0720166 -0.1424180  0.0112072 -0.1879247  0.0001451 -0.0000735 -0.0768726 -0.1704616
 3.2724923  0.0684881 -0.1384429  0.0116877 -0.1799696  0.0000639  0.0000053 -0.0694710 -0.1654043
 3.5342917  0.0651233 -0.1356011  0.0124917 -0.1720120  0.0002881  0.0000423 -0.0629406 -0.1604477
 3.7960911  0.0613024 -0.1315440  0.0118445 -0.1647921  0.0000988 -0.0000176 -0.0564528 -0.1557690
 4.0578905  0.0586093 -0.1286336  0.0131854 -0.1585322  0.0000982 -0.0000047 -0.0518850 -0.1508256
 4.3196899  0.0551320 -0.1258996  0.0129944 -0.1533039  0.0000326 -0.0000623 -0.0470101 -0.1466201
 4.5814893  0.0521498 -0.1231625  0.0137017 -0.1477306  0.0001767  0.0000921 -0.0427919 -0.1425405
 4.8432887  0.0497614 -0.1207868  0.0132483 -0.1432006  0.0000779  0.0001131 -0.0392415 -0.1384096
 5.1050881  0.0474822 -0.1179149  0.0130226 -0.1384904 -0.0001342 -0.0001424 -0.0361519 -0.1348284
 5.3668874  0.0458717 -0.1152296  0.0124671 -0.1343946 -0.0000799 -0.0000676 -0.0326488 -0.1312353
 5.6286868  0.0429347 -0.1130598  0.0121957 -0.1304284  0.0000298 -0.0000149 -0.0307586 -0.1271802
 5.8904862  0.0413742 -0.1100218  0.0127409 -0.1260289 -0.0000007  0.0000404 -0.0284608 -0.1241165
 6.1522856  0.0389250 -0.1080850  0.0119426 -0.1226464  0.0001071  0.0000553 -0.0259275 -0.1208560
 6.4140850  0.0378457 -0.1058516  0.0119541 -0.1194870 -0.0000070  0.0000031 -0.0238969 -0.1177426
 6.6758844  0.0361294 -0.1033247  0.0117230 -0.1160503 -0.0000442  0.0001385 -0.0225772 -0.1151938
 6.9376838  0.0345470 -0.1002862  0.0113461 -0.1130800  0.0000274  0.0001539 -0.0207440 -0.1119839
 7.1994832  0.0332647 -0.0997244  0.0106245 -0.1102623  0.0002053  0.0000780 -0.0191053 -0.1093124
 7.4612826  0.0323646 -0.0975419  0.0112210 -0.1080009 -0.0000372 -0.0000841 -0.0181632 -0.1067334
 7.7230819  0.0302762 -0.0949502  0.0107094 -0.1046742  0.0000406 -0.0001232 -0.0169762 -0.1045825
 7.9848813  0.0292063 -0.0929519  0.0097032 -0.1030525 -0.0001410  0.0000547 -0.0159211 -0.1020660
 8.2466807  0.0284777 -0.0915331  0.0105113 -0.1000690  0.0000754  0.0001214 -0.0145045 -0.0996379
 8.5084801  0.0272403 -0.0901705  0.0100412 -0.0981255  0.0000767 -0.0000216 -0.0138305 -0.0974912
 8.7702795  0.0263467 -0.0886018  0.0093622 -0.0961415 -0.0000354 -0.0000523 -0.0134076 -0.0954868
 9.0320789  0.0252021 -0.0866355  0.0094562 -0.0936463 -0.0000468  0.0002837 -0.0122780 -0.0932770
 9.2938783  0.0242657 -0.0853792  0.0085246 -0.0917929 -0.0000510  0.0000873 -0.0115082 -0.0913601
 9.5556777  0.0238914 -0.0842888  0.0084738 -0.0897196  0.0001117  0.0001528 -0.0110346 -0.0899188
 9.8174770  0.0225997 -0.0822505  0.0081244 -0.0874891 -0.0000351 -0.0001370 -0.0104576 -0.0876850
 10.0792764  0.0213302 -0.0808654  0.0080663 -0.0864995 -0.0000665 -0.0001381 -0.0095204 -0.0859870
 10.3410758  0.0203638 -0.0787746  0.0080800 -0.0851370  0.0000250 -0.0001170 -0.0087579 -0.0841651
 10.6028752  0.0204774 -0.0771547  0.0075929 -0.0819772 -0.0001180  0.0000034 -0.0092046 -0.0824514
 10.8646746  0.0199045 -0.0766057  0.0080055 -0.0806458 -0.0000217 -0.0000580 -0.0087302 -0.0809417
