#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1308997  0.3182310 -0.1478565  0.0611184 -0.6413530 -0.0031728 -0.0000368 -0.3549199 -0.2467427
 0.3926991  0.2473323 -0.1814852  0.0140299 -0.4864481 -0.0004632  0.0000492 -0.2912310 -0.2402629
 0.6544985  0.1981530 -0.1887961  0.0015877 -0.4013089 -0.0004447  0.0000757 -0.2432845 -0.2318582
 0.9162979  0.1626208 -0.1871914 -0.0015103 -0.3459546 -0.0000869 -0.0000721 -0.2065138 -0.2233722
 1.1780972  0.1393383 -0.1815954 -0.0000843 -0.3074593 -0.0000064  0.0000967 -0.1783834 -0.2151933
 1.4398966  0.1210640 -0.1755578  0.0013946 -0.2781966  0.0000019  0.0000879 -0.1552706 -0.2080594
 1.7016960  0.1086105 -0.1681964  0.0032257 -0.2556099  0.0000268  0.0000339 -0.1363861 -0.2005476
 1.9634954  0.0983009 -0.1627909  0.0046159 -0.2369216 -0.0000904  0.0001170 -0.1204605 -0.1939378
 2.2252948  0.0900370 -0.1572616  0.0072667 -0.2214053 -0.0000428 -0.0000688 -0.1075604 -0.1879757
 2.4870942  0.0831964 -0.1520257  0.0087725 -0.2087423 -0.0001564  0.0001712 -0.0957575 -0.1811546
 2.7488936  0.0780359 -0.1472511  0.0096546 -0.1971692  0.0003852 -0.0001648 -0.0857774 -0.1758874
 3.0106930  0.0725399 -0.1433355  0.0108318 -0.1878415 -0.0001201  0.0001366 -0.0768194 -0.1700191
 3.2724923  0.0677726 -0.1394386  0.0113096 -0.1791684 -0.0000191 -0.0000343 -0.0692053 -0.1652478
 3.5342917  0.0644887 -0.1351793  0.0119921 -0.1715658 -0.0000606  0.0000881 -0.0629512 -0.1597233
 3.7960911  0.0607381 -0.1316179  0.0125618 -0.1652826  0.0000182  0.0003747 -0.0567807 -0.1552485
 4.0578905  0.0586182 -0.1287486  0.0122803 -0.1584722 -0.0001614 -0.0002114 -0.0516480 -0.1507640
 4.3196899  0.0550284 -0.1256586  0.0128518 -0.1534772  0.0001873  0.0000896 -0.0472811 -0.1462938
 4.5814893  0.0523880 -0.1231034  0.0139104 -0.1480633  0.0000225 -0.0001835 -0.0427778 -0.1426449
 4.8432887  0.0496361 -0.1196556  0.0134608 -0.1426891 -0.0000118  0.0001922 -0.0392289 -0.1385650
 5.1050881  0.0471191 -0.1174002  0.0135863 -0.1387059  0.0001233 -0.0000918 -0.0363471 -0.1346496
 5.3668874  0.0455547 -0.1144393  0.0122735 -0.1343890 -0.0000899  0.0002157 -0.0332419 -0.1315180
 5.6286868  0.0441626 -0.1119974  0.0127992 -0.1298045  0.0002702 -0.0001526 -0.0300468 -0.1278316
 5.8904862  0.0418882 -0.1096516  0.0122392 -0.1264642 -0.0000998  0.0001610 -0.0277135 -0.1243928
 6.1522856  0.0400026 -0.1079363  0.0120148 -0.1225362 -0.0001079 -0.0002390 -0.0257592 -0.1208842
