#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1308997 -0.1705651 -0.7483283  0.2244151  0.0988342  0.0168183 -0.0225759  0.0015119 -0.0000681
 0.3926991 -0.1487490 -0.6521108  0.1666472  0.0726524  0.0067850 -0.0098662  0.0003999  0.0000048
 0.6544985 -0.1295513 -0.5860229  0.1313987  0.0621420  0.0045770 -0.0056871  0.0001225  0.0001083
 0.9162979 -0.1119164 -0.5360154  0.1079615  0.0566593  0.0035124 -0.0035064  0.0000018  0.0000184
 1.1780972 -0.0962949 -0.4974815  0.0912706  0.0532010  0.0027653 -0.0022389 -0.0000360  0.0000138
 1.4398966 -0.0822666 -0.4657805  0.0788295  0.0503798  0.0022617 -0.0013838  0.0000324  0.0000594
 1.7016960 -0.0687707 -0.4391549  0.0686930  0.0481169  0.0018892 -0.0008908  0.0000516  0.0000065
 1.9634954 -0.0581950 -0.4166157  0.0606948  0.0461746  0.0015539 -0.0005272 -0.0000130 -0.0000049
 2.2252948 -0.0483992 -0.3977512  0.0541815  0.0443915  0.0012827 -0.0003027 -0.0000546 -0.0000258
 2.4870942 -0.0398025 -0.3800910  0.0485915  0.0427299  0.0011110 -0.0001724 -0.0000248 -0.0000745
 2.7488936 -0.0326156 -0.3647974  0.0439640  0.0412821  0.0008567 -0.0000328  0.0000702 -0.0000506
 3.0106930 -0.0267533 -0.3510657  0.0398911  0.0397813  0.0007689  0.0000390 -0.0000807 -0.0000587
 3.2724923 -0.0211660 -0.3384442  0.0362762  0.0383142  0.0006314  0.0000539 -0.0000486 -0.0000849
 3.5342917 -0.0166415 -0.3263407  0.0330713  0.0370501  0.0005274  0.0000717 -0.0000336  0.0000219
 3.7960911 -0.0128851 -0.3161006  0.0303990  0.0357744  0.0004412  0.0001102 -0.0000286 -0.0000646
 4.0578905 -0.0098668 -0.3056208  0.0278480  0.0345328  0.0004074  0.0001026 -0.0000688 -0.0000170
 4.3196899 -0.0072768 -0.2956583  0.0258500  0.0331098  0.0004375  0.0001649 -0.0000426  0.0000091
 4.5814893 -0.0053435 -0.2871258  0.0240102  0.0322386  0.0003036  0.0001674 -0.0000443  0.0000045
