#iter  Observable_U
1 0.5726562
2 0.5708204
3 0.5711427
4 0.5703409
5 0.5711789
6 0.5723170
7 0.5709287
8 0.5698837
9 0.5713948
10 0.5716804
11 0.5702912
12 0.5714714
13 0.5734286
14 0.5719476
15 0.5710132
16 0.5709466
17 0.5710758
18 0.5698433
19 0.5703415
20 0.5714843
21 0.5709637
22 0.5726607
23 0.5715629
24 0.5709721
25 0.5717858
26 0.5711873
27 0.5704962
28 0.5707271
29 0.5708652
30 0.5704858
31 0.5725215
32 0.5724013
33 0.5712337
34 0.5702972
35 0.5706585
36 0.5697644
37 0.5699580
38 0.5693986
39 0.5707492
40 0.5725968
41 0.5708959
42 0.5717220
43 0.5711531
44 0.5712840
45 0.5699423
46 0.5714767
47 0.5719997
48 0.5711226
49 0.5704315
50 0.5709431
51 0.5692410
52 0.5709344
53 0.5720028
54 0.5732908
55 0.5727832
56 0.5716845
57 0.5711932
58 0.5731372
59 0.5719074
60 0.5714106
61 0.5713681
62 0.5701986
63 0.5694153
64 0.5700193
64 0.5721014
65 0.5710476
66 0.5723978
67 0.5704351
68 0.5717969
69 0.5709918
70 0.5723739
71 0.5717367
72 0.5706789
73 0.5713659
74 0.5709638
75 0.5697855
76 0.5709243
77 0.5707948
78 0.5706674
79 0.5706944
80 0.5696953
81 0.5691525
82 0.5706867
83 0.5706689
84 0.5705154
85 0.5720565
86 0.5721702
87 0.5733873
88 0.5717019
89 0.5694814
90 0.5706457
91 0.5718944
92 0.5702169
93 0.5709712
94 0.5713262
95 0.5710076
96 0.5699086
97 0.5685682
98 0.5700634
99 0.5719929
100 0.5727430
101 0.5703275
102 0.5713942
103 0.5707501
104 0.5699550
105 0.5722633
106 0.5720433
107 0.5727166
108 0.5704526
109 0.5721177
110 0.5698985
111 0.5712912
112 0.5720929
113 0.5700641
114 0.5704170
115 0.5720857
116 0.5703339
117 0.5717351
118 0.5710021
119 0.5712406
120 0.5685179
121 0.5709209
122 0.5719880
123 0.5700795
124 0.5716175
125 0.5696804
126 0.5720618
127 0.5717681
