tp	tpp	U	ave_D       	ave_mu     	ave_M       	mu	dt	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	tb1a_1	tb1b_1	tb2a_1	tb2b_1	tb3a_1	tb3b_1	tb4a_1	tb4b_1	tb5a_1	tb5b_1	tb6a_1	tb6b_1	tb7a_1	tb7b_1	tb8a_1	tb8b_1	pb3a_1	pb4b_1	pb5b_1	pb6a_1	db3a_1	db3b_1	db4a_1	db4b_1	db5a_1	db5b_1	db6a_1	db6b_1	mb1a_1	mb2a_1	mb3a_1	mb3b_1	mb4a_1	mb4b_1	mb5a_1	mb5b_1	mb6a_1	mb6b_1	mb7a_1	mb8a_1
-0.3	0.2	8	-0.104998250	0.942032400	-0.000599970	2.491	0	0.13446697	-0.36930124	0.80688136	-0.32670309	0.8068731	-0.32670118	0.68081417	-0.34529284	0.18493007	0.18493016	0.30268421	0.30269108	1.3987059e-05	0.4583013	0.33200242	1.2767174e-08	0.45830356	1.4007436e-05	2.1292673e-08	0.33200317	0.37639299	0.37639298	0.23837373	0.23836533	8.7502877e-05	-7.4081728e-05	8.7564634e-05	-7.4190216e-05	-0.14478795	-4.429429e-06	-2.4286445e-08	-0.27478026	4.4102072e-06	0.14478261	0.2747762	5.407009e-09	6.9795411e-05	0.00021170204	-2.9596734e-09	8.2075602e-05	3.6266897e-05	-2.6787003e-09	-8.227927e-05	-1.4940781e-09	-2.4655308e-09	-3.6332191e-05	-8.6282433e-05	-0.0001108996
-0.3	0.2	8	-0.104869120	0.942234140	-0.000939525	2.493	0	0.13372954	-0.36941897	0.80756925	-0.32720536	0.80756041	-0.32720344	0.68149964	-0.34590233	0.18444135	0.18444142	0.30281082	0.30281586	1.4034431e-05	0.45797776	0.33220647	1.0761345e-08	0.45797993	1.4016434e-05	2.777161e-09	0.33220724	0.37620484	0.37620485	0.23852222	0.23851606	0.00013695062	-0.00011569615	0.00013712303	-0.00011591838	-0.14495426	-4.4403502e-06	1.4995286e-08	-0.27468574	4.4621035e-06	0.14494885	0.27468167	5.407009e-09	0.00010858937	0.00031566167	-6.4664979e-08	0.00012852256	5.6612143e-05	-1.4638707e-08	-0.00012891854	-5.9225782e-08	-1.4714638e-08	-5.6740355e-05	-0.000134968	-0.00015485952
-0.3	0.2	8	-0.104742140	0.942434830	-0.001629639	2.495	0	0.13299651	-0.36953635	0.80824039	-0.32769105	0.80824017	-0.32769002	0.6821784	-0.34648634	0.18395681	0.18395691	0.30293621	0.30293987	1.3994316e-05	0.45765688	0.33241326	1.1676229e-08	0.45765912	1.4000564e-05	1.0149494e-08	0.33241358	0.37601447	0.37601442	0.23867087	0.2386664	0.00023531948	-0.00019789728	0.00023511599	-0.00019823322	-0.14511111	-4.4427814e-06	-1.8679621e-08	-0.27458205	4.426232e-06	0.14510818	0.27457984	5.407009e-09	0.0001873888	0.00052248347	-2.5504639e-08	0.00022142761	9.8253926e-05	-1.2580283e-08	-0.00022177408	-2.60658e-08	-1.3630645e-08	-9.828303e-05	-0.00023404113	-0.00023900602
-0.3	0.2	8	-0.000018496	0.974110030	0.644899310 	2.496	0	-0.01892512	-0.60023311	1.32836	-0.38743422	1.3283602	-0.38743419	1.8690038	-0.35650597	0.13935098	0.13935099	0.35154722	0.35154724	2.3526218e-09	0.50782282	0.40855664	-2.3540659e-09	0.50782283	9.517746e-10	-5.986977e-09	0.40855663	0.40390639	0.40390639	0.22720628	0.22720627	-5.2841492e-05	3.1129009e-05	-6.6051987e-05	3.7342369e-05	-6.652943e-05	6.0754515e-09	2.464747e-09	-8.6075873e-05	3.9761851e-09	8.5352592e-05	9.4934959e-05	5.407009e-09	-0.068748747	-0.16816137	2.8739546e-09	-0.09826352	-0.10777785	5.3973446e-09	0.09826352	2.220273e-09	6.1211102e-09	0.10777784	0.18129512	-0.040812437
-0.3	0.2	8	-0.000000191	0.974552120	0.645774650 	2.499	0	-0.019951348	-0.60328432	1.3340731	-0.39050056	1.3340763	-0.39050056	1.8739667	-0.3595621	0.13947906	0.13947899	0.35196182	0.35196195	-7.0936746e-09	0.50854545	0.40917234	-6.0758333e-09	0.50854611	-8.9468498e-09	-1.0531092e-09	0.40917222	0.40451242	0.40451272	0.22698847	0.22698842	-6.4795187e-07	3.7725948e-07	-7.575124e-07	4.3507894e-07	-7.8905215e-07	6.5385426e-09	1.9503428e-10	-9.4858977e-07	-1.1967804e-09	9.1571449e-07	1.0074823e-06	5.407009e-09	-0.068588228	-0.16941817	-1.3879818e-08	-0.098579451	-0.1078821	-1.6480113e-08	0.098579982	-1.402614e-08	-1.5696846e-08	0.1078822	0.1813632	-0.039773141
-0.3	0.2	8	-0.104412340	0.942939030	-0.000218269	2.5	0	0.1311494	-0.36983308	0.80996299	-0.32893069	0.80996113	-0.32893032	0.6838993	-0.34799488	0.18272591	0.18272635	0.30324723	0.30324937	1.4435235e-05	0.45686546	0.33291228	5.9388729e-09	0.45686616	1.4427671e-05	7.1273058e-09	0.33291254	0.37554818	0.37554792	0.23903383	0.23903121	3.1346468e-05	-2.6251719e-05	3.1356144e-05	-2.6300937e-05	-0.14550901	-4.5953279e-06	4.3069252e-09	-0.27432786	4.6093855e-06	0.14550762	0.27432679	5.407009e-09	2.4520058e-05	9.4759458e-05	2.3675462e-08	2.9594071e-05	1.305959e-05	5.6582605e-09	-2.9662829e-05	2.3756885e-08	4.9964658e-09	-1.3086941e-05	-3.0853188e-05	-6.2821178e-05
-0.3	0.2	8	-0.000000003	0.974987170	0.646626640 	2.502	0	-0.021000458	-0.60635612	1.3396291	-0.39358991	1.3396291	-0.39359012	1.8786635	-0.36263073	0.13962301	0.13962295	0.35237174	0.35237184	-1.8308265e-08	0.50927304	0.40978217	-4.12501e-08	0.50927295	-1.4777601e-08	-5.1035763e-08	0.40978224	0.40511648	0.40511668	0.22672219	0.22672226	-3.6380989e-08	2.0891039e-08	-2.7689472e-08	1.3926509e-08	-3.7996854e-08	9.0479033e-09	-7.8742818e-10	-2.7114095e-08	-1.8924737e-09	2.471498e-08	2.1060705e-08	5.407009e-09	-0.068439326	-0.17073233	1.4293385e-09	-0.098881282	-0.10798147	2.3533327e-08	0.098881416	-2.8432294e-09	3.6963322e-08	0.10798149	0.1814012	-0.038643143
-0.3	0.2	8	0.000000001 	0.975279750	0.647186600 	2.504	0	-0.021713946	-0.60842408	1.3432307	-0.39566381	1.3432307	-0.39566401	1.8816587	-0.36469157	0.13972829	0.13972823	0.35264104	0.35264111	1.3299819e-08	0.50975947	0.41018537	8.1920615e-09	0.50975939	5.598139e-09	1.2311683e-08	0.41018543	0.40551988	0.40552007	0.22652372	0.22652372	3.0985659e-08	-1.3705429e-08	-9.2006645e-09	5.543451e-10	2.9644897e-09	4.7257482e-09	-2.1339023e-09	8.205752e-09	-2.0079871e-09	-1.38175e-08	-4.8027218e-09	5.407009e-09	-0.068346013	-0.17163162	-3.5105209e-08	-0.099072631	-0.1080447	-2.1196223e-08	0.099072803	-3.3637012e-08	-2.4438777e-08	0.10804474	0.18141036	-0.037848719
-0.3	0.2	8	0.000000000 	0.975576470	0.647742340 	2.506	0	-0.022439174	-0.61051358	1.3467487	-0.39774922	1.3467491	-0.39774954	1.8845313	-0.36676957	0.13984125	0.13984118	0.35290715	0.3529071	-4.3646111e-08	0.51024704	0.41058585	-5.4471105e-08	0.51024701	-4.606372e-08	-5.4032853e-08	0.41058591	0.40592295	0.40592317	0.22631062	0.22631086	8.3566693e-09	-3.3514811e-09	-1.1111552e-08	5.5518534e-09	-4.3922771e-09	7.7763951e-09	-7.8248364e-10	-2.4904607e-09	-3.3586729e-09	2.8525044e-09	6.1325195e-09	5.407009e-09	-0.068257709	-0.17254627	-3.4984315e-09	-0.099256079	-0.10810577	-1.110701e-08	0.099256284	-1.3034487e-08	2.3176523e-09	0.10810567	0.18140618	-0.037025374
-0.3	0.2	8	-0.000000002	0.975858640	0.648274870 	2.508	0	-0.023176556	-0.61261449	1.3501739	-0.39984504	1.3501744	-0.39984526	1.8872561	-0.36885017	0.13996212	0.139962	0.35317004	0.35317007	4.3799202e-08	0.51073504	0.41098328	-9.1449765e-10	0.51073502	1.8967389e-08	4.739013e-08	0.41098332	0.40632381	0.40632406	0.22607106	0.22607123	-5.3652443e-09	2.2152536e-09	4.8456538e-09	-4.0673533e-09	-1.161304e-08	9.1838605e-09	2.9580394e-09	-7.6691506e-09	3.7783769e-09	-4.8237482e-09	8.228841e-10	5.407009e-09	-0.068175077	-0.17349144	-9.043939e-08	-0.09943096	-0.10816428	-1.6861752e-07	0.099431145	-7.952243e-08	-1.6642863e-07	0.10816421	0.18138568	-0.036153372
