#iter  Sign
1 0.5968735
2 0.5900891
3 0.5858372
4 0.5835821
5 0.5800099
6 0.5814807
7 0.5772164
8 0.5774526
9 0.5749645
10 0.5774928
11 0.5736074
12 0.5730936
13 0.5724944
14 0.5745391
15 0.5730302
16 0.5717771
17 0.5725108
18 0.5733520
19 0.5710590
20 0.5700680
21 0.5732991
22 0.5704863
23 0.5711345
24 0.5685254
25 0.5715504
26 0.5681135
27 0.5675373
28 0.5684858
29 0.5709734
30 0.5686257
31 0.5689459
32 0.5704736
33 0.5690881
34 0.5690193
35 0.5695165
36 0.5697366
37 0.5689200
38 0.5695171
39 0.5720570
40 0.5691682
41 0.5682486
42 0.5698868
43 0.5696180
44 0.5709702
45 0.5722415
46 0.5696001
47 0.5685414
48 0.5690854
49 0.5698642
50 0.5680668
51 0.5658485
52 0.5676717
53 0.5703615
54 0.5676384
55 0.5689403
56 0.5671156
57 0.5699282
58 0.5684116
59 0.5677919
60 0.5662652
61 0.5674278
62 0.5675649
63 0.5712380
64 0.5680964
