#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1256637  0.3181028 -0.1321038  0.0510525 -0.5894956 -0.2536061  0.0000264 -0.3696273 -0.2349374
 0.3769911  0.2474907 -0.1750022  0.0101581 -0.4862046 -0.0544563 -0.0000092 -0.2970960 -0.2383939
 0.6283185  0.2006157 -0.1841319 -0.0008419 -0.4040277 -0.0197984 -0.0003771 -0.2492640 -0.2315893
 0.8796459  0.1665545 -0.1832244 -0.0028663 -0.3502667 -0.0091785 -0.0005055 -0.2129261 -0.2231276
 1.1309734  0.1422209 -0.1791154 -0.0022235 -0.3114576 -0.0046850 -0.0002860 -0.1845094 -0.2161986
 1.3823008  0.1247982 -0.1729329  0.0001040 -0.2820595 -0.0030098  0.0004240 -0.1613400 -0.2087810
 1.6336282  0.1117259 -0.1669376  0.0027924 -0.2595437 -0.0018403 -0.0000201 -0.1425895 -0.2018683
 1.8849556  0.1005638 -0.1619945  0.0042399 -0.2403979 -0.0006909  0.0000834 -0.1265994 -0.1954960
 2.1362830  0.0922125 -0.1568929  0.0063050 -0.2254555 -0.0012385  0.0001174 -0.1126357 -0.1901526
 2.3876104  0.0854729 -0.1516739  0.0079342 -0.2127883 -0.0003928  0.0002401 -0.1004660 -0.1836435
 2.6389378  0.0801103 -0.1466201  0.0096012 -0.2019043 -0.0005436  0.0002088 -0.0898982 -0.1782789
 2.8902652  0.0752077 -0.1429122  0.0101485 -0.1916270  0.0000257 -0.0001012 -0.0809991 -0.1728809
 3.1415927  0.0708576 -0.1397260  0.0114790 -0.1835178 -0.0004691 -0.0002778 -0.0738532 -0.1675619
 3.3929201  0.0672466 -0.1362906  0.0121339 -0.1758240 -0.0003046 -0.0003993 -0.0663992 -0.1631015
 3.6442475  0.0638569 -0.1328647  0.0124486 -0.1690871 -0.0003010 -0.0002154 -0.0603080 -0.1578318
 3.8955749  0.0608080 -0.1296492  0.0127904 -0.1619926 -0.0003485  0.0000794 -0.0550313 -0.1538270
 4.1469023  0.0571747 -0.1269269  0.0131570 -0.1561454 -0.0003665  0.0003809 -0.0503848 -0.1491803
 4.3982297  0.0547682 -0.1241085  0.0132045 -0.1513625 -0.0005185 -0.0002170 -0.0457937 -0.1452201
 4.6495571  0.0517915 -0.1208542  0.0135490 -0.1454455  0.0003872  0.0002600 -0.0422799 -0.1408622
 4.9008845  0.0498780 -0.1193319  0.0135795 -0.1421197 -0.0004904 -0.0003982 -0.0393312 -0.1372220
 5.1522120  0.0474499 -0.1167071  0.0130701 -0.1367615 -0.0001458  0.0001006 -0.0357811 -0.1341286
 5.4035394  0.0453878 -0.1138698  0.0125538 -0.1330858 -0.0002158 -0.0000294 -0.0329667 -0.1309517
