#w_matsubara  SzSz   
 0.0000000  1.2939324
 0.2513274  0.6842382
 0.5026548  0.4290888
 0.7539822  0.2955750
 1.0053096  0.2181403
 1.2566371  0.1681756
 1.5079645  0.1336126
 1.7592919  0.1097465
 2.0106193  0.0917085
 2.2619467  0.0781370
 2.5132741  0.0673851
 2.7646015  0.0586705
 3.0159289  0.0517109
 3.2672564  0.0459256
 3.5185838  0.0411879
 3.7699112  0.0370141
 4.0212386  0.0336145
 4.2725660  0.0305849
 4.5238934  0.0279972
 4.7752208  0.0257401
 5.0265482  0.0237078
 5.2778757  0.0219798
 5.5292031  0.0203562
 5.7805305  0.0190003
 6.0318579  0.0176963
 6.2831853  0.0165939
 6.5345127  0.0155676
 6.7858401  0.0146531
 7.0371675  0.0137717
 7.2884950  0.0130261
 7.5398224  0.0122731
 7.7911498  0.0116191
 8.0424772  0.0110165
 8.2938046  0.0104517
 8.5451320  0.0099177
 8.7964594  0.0094558
 9.0477868  0.0089894
 9.2991143  0.0085954
 9.5504417  0.0082214
 9.8017691  0.0078376
 10.0530965  0.0075112
 10.3044239  0.0071833
 10.5557513  0.0069009
 10.8070787  0.0066157
 11.0584061  0.0063565
 11.3097336  0.0061217
 11.5610610  0.0058738
 11.8123884  0.0056645
 12.0637158  0.0054461
 12.3150432  0.0052371
 12.5663706  0.0050625
 12.8176980  0.0048820
 13.0690254  0.0047162
 13.3203529  0.0045663
 13.5716803  0.0044085
 13.8230077  0.0042691
 14.0743351  0.0041252
 14.3256625  0.0040023
 14.5769899  0.0038694
 14.8283173  0.0037461
 15.0796447  0.0036356
 15.3309721  0.0035314
 15.5822996  0.0034332
 15.8336270  0.0033334
 16.0849544  0.0032377
 16.3362818  0.0031406
 16.5876092  0.0030487
 16.8389366  0.0029688
 17.0902640  0.0028913
 17.3415914  0.0028080
 17.5929189  0.0027295
 17.8442463  0.0026677
 18.0955737  0.0025951
 18.3469011  0.0025342
 18.5982285  0.0024714
 18.8495559  0.0024093
 19.1008833  0.0023499
 19.3522107  0.0022896
 19.6035382  0.0022367
 19.8548656  0.0021848
 20.1061930  0.0021330
 20.3575204  0.0020794
 20.6088478  0.0020323
 20.8601752  0.0019861
 21.1115026  0.0019455
 21.3628300  0.0018972
 21.6141575  0.0018560
 21.8654849  0.0018198
 22.1168123  0.0017795
 22.3681397  0.0017413
 22.6194671  0.0016956
 22.8707945  0.0016666
 23.1221219  0.0016304
 23.3734493  0.0015958
 23.6247768  0.0015640
 23.8761042  0.0015331
 24.1274316  0.0015042
 24.3787590  0.0014766
 24.6300864  0.0014468
 24.8814138  0.0014181
 25.1327412  0.0013924
 25.3840686  0.0013617
 25.6353961  0.0013382
 25.8867235  0.0013117
 26.1380509  0.0012872
 26.3893783  0.0012632
 26.6407057  0.0012469
 26.8920331  0.0012235
 27.1433605  0.0011979
 27.3946879  0.0011822
 27.6460154  0.0011575
 27.8973428  0.0011360
 28.1486702  0.0011187
 28.3999976  0.0011018
 28.6513250  0.0010824
 28.9026524  0.0010611
 29.1539798  0.0010464
 29.4053072  0.0010276
 29.6566346  0.0010099
 29.9079621  0.0009950
 30.1592895  0.0009797
 30.4106169  0.0009643
 30.6619443  0.0009460
 30.9132717  0.0009328
 31.1645991  0.0009182
 31.4159265  0.0009029
 31.6672539  0.0008883
 31.9185814  0.0008778
 32.1699088  0.0008627
 32.4212362  0.0008498
 32.6725636  0.0008351
 32.9238910  0.0008228
 33.1752184  0.0008115
 33.4265458  0.0007999
 33.6778732  0.0007892
 33.9292007  0.0007779
 34.1805281  0.0007667
 34.4318555  0.0007549
 34.6831829  0.0007448
 34.9345103  0.0007364
 35.1858377  0.0007236
 35.4371651  0.0007144
 35.6884925  0.0007051
 35.9398200  0.0006959
 36.1911474  0.0006873
 36.4424748  0.0006764
 36.6938022  0.0006686
 36.9451296  0.0006573
 37.1964570  0.0006509
 37.4477844  0.0006412
 37.6991118  0.0006332
 37.9504393  0.0006235
 38.2017667  0.0006175
 38.4530941  0.0006100
 38.7044215  0.0006006
 38.9557489  0.0005931
 39.2070763  0.0005859
 39.4584037  0.0005785
 39.7097311  0.0005706
 39.9610586  0.0005645
