#iter  E
1 -22.7169400
2 -22.6910485
3 -22.6720529
4 -22.6664517
5 -22.6620531
6 -22.6585754
7 -22.6499250
8 -22.6472119
9 -22.6458223
10 -22.6473036
11 -22.6414848
12 -22.6382103
13 -22.6490332
14 -22.6427095
15 -22.6382948
16 -22.6394290
17 -22.6362217
18 -22.6369525
19 -22.6357055
20 -22.6339642
21 -22.6284320
22 -22.6313259
23 -22.6285009
24 -22.6323175
25 -22.6322325
26 -22.6317705
27 -22.6270990
28 -22.6302396
29 -22.6309455
30 -22.6284317
31 -22.6276104
32 -22.6291199
33 -22.6326736
34 -22.6280435
35 -22.6336253
36 -22.6326465
37 -22.6280418
38 -22.6269636
39 -22.6248629
40 -22.6300069
41 -22.6283696
42 -22.6251077
43 -22.6301787
44 -22.6305004
45 -22.6245809
46 -22.6288763
47 -22.6280562
48 -22.6248398
49 -22.6292893
50 -22.6279400
51 -22.6262615
52 -22.6293253
53 -22.6303630
54 -22.6270816
55 -22.6321574
56 -22.6283252
57 -22.6245567
58 -22.6272666
59 -22.6275584
60 -22.6204185
61 -22.6251779
62 -22.6260427
63 -22.6270146
64 -22.6278746
