#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 13.1946891  0.0142233 -0.0665025  0.0052713 -0.0688506  0.0006946  0.0001051 -0.0054040 -0.0690284
 13.4460166  0.0141128 -0.0644688  0.0052694 -0.0681050  0.0001389 -0.0000821 -0.0052209 -0.0678656
 13.6973440  0.0128905 -0.0647220  0.0052323 -0.0669614  0.0000923  0.0000028 -0.0054849 -0.0670854
 13.9486714  0.0134287 -0.0631380  0.0055366 -0.0663913  0.0004071  0.0000304 -0.0043545 -0.0658316
 14.1999988  0.0128644 -0.0627659  0.0050240 -0.0647982  0.0002130  0.0001325 -0.0049113 -0.0645102
 14.4513262  0.0124434 -0.0620094  0.0047443 -0.0637541  0.0004931 -0.0001079 -0.0043476 -0.0639678
 14.7026536  0.0117827 -0.0609753  0.0050758 -0.0631527 -0.0001515  0.0001896 -0.0046011 -0.0630686
 14.9539810  0.0117195 -0.0603623  0.0047134 -0.0619949  0.0000335 -0.0001196 -0.0045665 -0.0618359
 15.2053084  0.0112790 -0.0592214  0.0050768 -0.0613159 -0.0002036 -0.0002951 -0.0042966 -0.0614471
 15.4566359  0.0112555 -0.0585165  0.0043817 -0.0607943 -0.0000457  0.0002280 -0.0044291 -0.0605828
 15.7079633  0.0111680 -0.0581039  0.0043805 -0.0594556  0.0001996 -0.0005458 -0.0041739 -0.0597424
 15.9592907  0.0104548 -0.0566003  0.0039653 -0.0586052  0.0002096  0.0004065 -0.0038007 -0.0589588
 16.2106181  0.0106668 -0.0564001  0.0037362 -0.0581160  0.0002559  0.0002805 -0.0032277 -0.0581717
 16.4619455  0.0100566 -0.0555007  0.0041649 -0.0565254 -0.0002150  0.0000940 -0.0030674 -0.0571635
 16.7132729  0.0095313 -0.0550383  0.0040063 -0.0559922  0.0001898 -0.0003394 -0.0031445 -0.0564374
 16.9646003  0.0099845 -0.0542074  0.0041700 -0.0552770 -0.0000459 -0.0000232 -0.0026057 -0.0552011
 17.2159277  0.0091942 -0.0534930  0.0038069 -0.0548795  0.0001783 -0.0002320 -0.0030364 -0.0546457
 17.4672552  0.0091498 -0.0524669  0.0038514 -0.0538551 -0.0000130 -0.0002471 -0.0025027 -0.0543167
 17.7185826  0.0083926 -0.0520450  0.0038006 -0.0536994 -0.0004048 -0.0003889 -0.0027469 -0.0536373
 17.9699100  0.0086053 -0.0503914  0.0033962 -0.0523744  0.0002270  0.0002957 -0.0023492 -0.0524286
 18.2212374  0.0081650 -0.0504595  0.0030621 -0.0526376  0.0001567 -0.0000625 -0.0026157 -0.0517193
 18.4725648  0.0086154 -0.0502402  0.0026363 -0.0512518  0.0000956 -0.0000086 -0.0027565 -0.0511328
 18.7238922  0.0082495 -0.0500512  0.0035237 -0.0509676  0.0003932  0.0000701 -0.0028629 -0.0506671
 18.9752196  0.0085388 -0.0487626  0.0032336 -0.0501862  0.0000462 -0.0003440 -0.0026877 -0.0504956
 19.2265470  0.0077081 -0.0483567  0.0030424 -0.0491638  0.0000285  0.0003478 -0.0023665 -0.0495558
 19.4778745  0.0080925 -0.0472911  0.0028769 -0.0488196  0.0000268 -0.0001766 -0.0026337 -0.0487455
 19.7292019  0.0076834 -0.0472171  0.0032764 -0.0482718  0.0004977  0.0001435 -0.0023399 -0.0480985
 19.9805293  0.0077245 -0.0478269  0.0030828 -0.0479913  0.0000341  0.0000321 -0.0023370 -0.0478847
 20.2318567  0.0070982 -0.0464563  0.0031428 -0.0472889  0.0000401  0.0000497 -0.0033295 -0.0468300
 20.4831841  0.0070206 -0.0455949  0.0032014 -0.0463252  0.0003853  0.0002951 -0.0021854 -0.0461558
 20.7345115  0.0067224 -0.0451456  0.0028215 -0.0461607  0.0001888  0.0001334 -0.0024173 -0.0460665
 20.9858389  0.0066763 -0.0453188  0.0024502 -0.0457006  0.0003338  0.0001849 -0.0028978 -0.0455803
 21.2371663  0.0068957 -0.0443595  0.0024746 -0.0452690  0.0000242  0.0002611 -0.0023457 -0.0452175
 21.4884938  0.0071128 -0.0446918  0.0028979 -0.0450665  0.0002089 -0.0000298 -0.0020749 -0.0447572
 21.7398212  0.0064264 -0.0442694  0.0026826 -0.0447380  0.0003216 -0.0002709 -0.0018129 -0.0438885
 21.9911486  0.0057824 -0.0430204  0.0026830 -0.0431641 -0.0000781 -0.0000530 -0.0017351 -0.0438160
 22.2424760  0.0060083 -0.0428481  0.0025957 -0.0434461  0.0001164  0.0000628 -0.0024946 -0.0436484
 22.4938034  0.0058758 -0.0419001  0.0019521 -0.0425899 -0.0002353 -0.0001035 -0.0020145 -0.0434064
 22.7451308  0.0063640 -0.0417592  0.0023184 -0.0423375  0.0001499  0.0000995 -0.0014894 -0.0428088
 22.9964582  0.0063076 -0.0414989  0.0020820 -0.0420399  0.0000098 -0.0003377 -0.0014834 -0.0417795
