#iter  Observable_U
1 0.5336910
2 0.5411570
3 0.5484545
4 0.5485375
5 0.5521844
6 0.5526802
7 0.5552610
8 0.5564285
9 0.5558823
10 0.5551693
11 0.5567634
12 0.5582069
13 0.5561592
14 0.5549183
15 0.5580264
16 0.5568541
17 0.5587665
18 0.5597439
19 0.5587011
20 0.5591302
21 0.5615999
22 0.5590218
23 0.5615984
24 0.5606759
25 0.5619881
26 0.5603676
27 0.5606712
28 0.5603300
29 0.5601298
30 0.5614058
31 0.5613035
32 0.5604711
33 0.5597201
34 0.5609051
35 0.5606382
36 0.5601757
37 0.5607465
38 0.5625243
39 0.5626860
40 0.5596565
41 0.5616987
42 0.5611788
43 0.5606177
44 0.5618926
45 0.5621072
46 0.5615384
47 0.5606258
48 0.5618569
49 0.5615199
50 0.5613015
51 0.5609219
52 0.5605642
53 0.5613405
54 0.5619240
55 0.5591782
56 0.5629047
57 0.5616810
58 0.5610643
59 0.5598451
60 0.5643339
61 0.5621410
62 0.5590617
63 0.5608559
64 0.5621511
