#M_tol -0.01
2.4		0.93301578		0.015967856709873586
2.42		0.93496557		0.015485525253811135
2.44		0.93693357		0.015022464535516205
2.46		0.93891395		0.014569281495526103
2.48		0.94092373		0.014111006093040918
2.481		0.94102792		0.014086060108316232
2.483		0.94122645		0.014040427736585443
2.485		0.94142735		0.013994438331244651
2.487		0.94162859		0.013948345250248297
2.489		0.94183026		0.013902123425634088
2.491		0.9420324		0.013855766700976579
2.493		0.94223414		0.013809268683602069
2.495		0.94243483		0.013763693836738734
2.496		0.97411003		-5.223063700219852e-10
2.499		0.97455212		2.064494754142237e-13
2.5		0.94293903		0.013647452257599973
2.502		0.97498717		7.642171950911077e-17
2.504		0.97527975		3.609143865118641e-17
2.506		0.97557647		9.900959409629864e-18
2.508		0.97585864		1.8023975625194282e-17
2.52		0.98092793		2.4026232581416366e-11
2.54		0.98366213		3.019382267799831e-17
2.56		0.98596476		1.0631517140379438e-17
2.58		0.99475062		9.362113881540802e-18
2.6		0.99757759		5.1430335132583593e-17
2.62		0.99867325		5.575522095785899e-17
2.64		0.99877667		-2.479720541643262e-17
5.15		1.0610744		8.215081184124105e-6
5.15		1.0610744		8.264437368076339e-6
5.2		1.069613		8.440851562305702e-6
5.25		1.0788564		0.028582109629637885
5.3		1.0881113		0.03449627951295042
5.31		1.0900026		0.03523207186698412
5.32		1.0919072		0.03585812542816647
5.33		1.0938415		0.03640135548607596
5.34		1.0958443		0.036861581627271725
5.34		1.0778965		0.025250170462981728
5.35		1.0979803		0.037219986814925096
5.35		1.0979801		0.037219943223159344
5.36		1.1004105		0.03745292694942223
5.361		1.1006932		0.03746445659726262
5.362		1.1009894		0.03747074158527635
5.363		1.1013063		0.03747317071711682
5.364		1.1016501		0.037470162076103014
5.365		1.1019521		0.03745800147227013
5.366		1.1022747		0.03743005966638813
5.367		1.1028726		0.03732582441315458
5.368		1.1133177		0.03330239127060298
5.369		1.1134222		0.03330754408572129
5.37		1.1135272		0.03331330399516258
5.38		1.1145919		0.03338200278096166
5.39		1.1156336		0.033424163800146706
5.4		1.1166816		0.0334617127872892
5.41		1.1177146		0.0334735263482915
5.42		1.1187634		0.033499570534419515
5.43		1.119811		0.03351942765331816
5.44		1.1208591		0.03353281294706735
5.45		1.1219072		0.03353934369870692
5.45		1.1219255		0.033557537796782964
5.46		1.1229605		0.033538658515678894
5.47		1.1240143		0.03353043863540638
5.48		1.1250633		0.033514204366021094
5.49		1.1261146		0.03348954780879508
5.5		1.1271915		0.03347162891982763
5.5		1.1271646		0.03345593954692304
5.51		1.1282174		0.033412883803263814
5.52		1.1292718		0.03335979419465954
5.53		1.1303245		0.0332959982784751
5.54		1.131377		0.03322080919958999
5.55		1.1324338		0.03313343757240164
5.55		1.1324506		0.033145922949447876
5.56		1.1334861		0.03303316925702635
5.57		1.134541		0.03291886304997578
5.58		1.1355981		0.032789727038162804
5.59		1.136657		0.0326445693242726
5.6		1.1377144		0.03248221742787805
5.6		1.1377305		0.03249061718920273
5.61		1.1387721		0.032301486363752865
5.62		1.1398322		0.032101007165894715
5.63		1.1408985		0.03187940769118699
5.64		1.1419607		0.03163522852697108
5.65		1.1430233		0.03136696664492219
5.65		1.143039		0.03137026672536457
5.66		1.1440909		0.031072686045353622
5.67		1.1451628		0.030751871794241284
5.68		1.1462343		0.0304020575872864
5.69		1.1473021		0.03002212552047892
5.7		1.1483875		0.029607617968139068
5.75		1.1537716		0.027025222037618597
5.8		1.1591376		0.023504230120149183
5.85		1.1645244		0.01902104022288835
5.9		1.1698577		0.013674186416806303
5.95		1.1751527		0.008351930034920378
6.0		1.180478		0.004679152628894702
