#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 13.4639685  0.0136674 -0.0653533  0.0052891 -0.0679489  0.0000771 -0.0001954 -0.0054980 -0.0680591
 13.7204251  0.0138815 -0.0643323  0.0039426 -0.0670812 -0.0000016  0.0000892 -0.0052764 -0.0668191
 13.9768816  0.0125100 -0.0630095  0.0055935 -0.0657725  0.0000626  0.0000198 -0.0047876 -0.0656926
 14.2333381  0.0135013 -0.0620570  0.0054703 -0.0650568 -0.0000666 -0.0000706 -0.0046910 -0.0645238
 14.4897947  0.0130916 -0.0615718  0.0053192 -0.0634757  0.0000009 -0.0001147 -0.0049472 -0.0639746
 14.7462512  0.0114927 -0.0608627  0.0045817 -0.0629609 -0.0000492  0.0000597 -0.0050329 -0.0630482
 15.0027078  0.0115059 -0.0604802  0.0044170 -0.0620719  0.0000831 -0.0000321 -0.0043501 -0.0619275
 15.2591643  0.0112435 -0.0590484  0.0045340 -0.0606991 -0.0000916  0.0000303 -0.0047778 -0.0609453
 15.5156209  0.0111882 -0.0584748  0.0043136 -0.0604805  0.0002742  0.0002254 -0.0044149 -0.0602491
 15.7720774  0.0109383 -0.0572565  0.0043930 -0.0596692  0.0000020  0.0001429 -0.0038218 -0.0592129
 16.0285339  0.0103602 -0.0570824  0.0042834 -0.0583476  0.0001446 -0.0001008 -0.0041298 -0.0592010
 16.2849905  0.0099834 -0.0560378  0.0041683 -0.0576674 -0.0001131 -0.0000857 -0.0042176 -0.0586807
 16.5414470  0.0097480 -0.0553186  0.0035600 -0.0566324 -0.0001179  0.0000292 -0.0036290 -0.0565799
 16.7979036  0.0101948 -0.0543438  0.0034227 -0.0558572  0.0000807  0.0002056 -0.0034965 -0.0568429
 17.0543601  0.0088609 -0.0538426  0.0035346 -0.0554797  0.0000194  0.0000559 -0.0032287 -0.0551374
 17.3108167  0.0089061 -0.0524434  0.0032409 -0.0545731 -0.0002437  0.0000711 -0.0039974 -0.0549806
 17.5672732  0.0097067 -0.0518805  0.0040883 -0.0537366 -0.0000073 -0.0000028 -0.0032924 -0.0543121
 17.8237297  0.0089761 -0.0517586  0.0037010 -0.0533162 -0.0000033  0.0000349 -0.0028172 -0.0535876
 18.0801863  0.0087077 -0.0512120  0.0027393 -0.0529012  0.0000287  0.0000060 -0.0027639 -0.0519352
 18.3366428  0.0080014 -0.0505765  0.0030067 -0.0516513 -0.0002083 -0.0000666 -0.0028416 -0.0519345
 18.5930994  0.0078040 -0.0497165  0.0033824 -0.0503639  0.0000189  0.0000733 -0.0027512 -0.0515133
 18.8495559  0.0079597 -0.0490204  0.0036588 -0.0508034  0.0001122  0.0000197 -0.0031026 -0.0511466
 19.1060125  0.0072916 -0.0486469  0.0032248 -0.0503266  0.0000325 -0.0001391 -0.0024069 -0.0496955
 19.3624690  0.0081864 -0.0476835  0.0031757 -0.0496720 -0.0000445 -0.0002835 -0.0023623 -0.0488509
 19.6189256  0.0079785 -0.0485619  0.0031349 -0.0487530  0.0001752 -0.0000588 -0.0029103 -0.0485780
 19.8753821  0.0076210 -0.0476711  0.0034334 -0.0483337  0.0002024 -0.0000532 -0.0023368 -0.0481160
 20.1318386  0.0077339 -0.0467088  0.0037387 -0.0466185  0.0000948 -0.0001019 -0.0030120 -0.0482364
 20.3882952  0.0070541 -0.0464642  0.0022823 -0.0464395 -0.0000742 -0.0003393 -0.0021629 -0.0475277
 20.6447517  0.0064175 -0.0463082  0.0019583 -0.0467362  0.0000320 -0.0000672 -0.0017935 -0.0468315
 20.9012083  0.0067553 -0.0449567  0.0020839 -0.0458856 -0.0001167 -0.0000910 -0.0016702 -0.0466569
 21.1576648  0.0070156 -0.0446738  0.0032984 -0.0452438  0.0000896  0.0000204 -0.0014624 -0.0459594
 21.4141214  0.0067032 -0.0439201  0.0021787 -0.0443116 -0.0001809  0.0001156 -0.0021993 -0.0447106
