#iter  E
1 -22.7750734
2 -22.7602925
3 -22.7404171
4 -22.7304349
5 -22.7191700
6 -22.7273735
7 -22.7269614
8 -22.7258122
9 -22.7177150
10 -22.7228860
11 -22.7220372
12 -22.7268921
13 -22.7287609
14 -22.7277160
15 -22.7218729
16 -22.7144317
17 -22.7319041
18 -22.7213233
19 -22.7182850
20 -22.7182635
21 -22.7175040
22 -22.7277522
23 -22.7172773
24 -22.7149671
25 -22.7217366
26 -22.7183378
27 -22.7253920
28 -22.7210924
29 -22.7189546
30 -22.7262857
31 -22.7156952
32 -22.7052992
33 -22.7162298
34 -22.7101527
35 -22.7151984
36 -22.7185962
37 -22.7118381
38 -22.7256755
39 -22.7265025
40 -22.7195149
41 -22.7149783
42 -22.7239074
43 -22.7199363
44 -22.7239174
45 -22.7224998
46 -22.7184654
47 -22.7153255
48 -22.7263712
49 -22.7202139
50 -22.7241774
51 -22.7238970
52 -22.7100367
53 -22.7083326
54 -22.7261302
55 -22.7230093
56 -22.7241064
57 -22.7235597
58 -22.7238726
59 -22.7066168
60 -22.7214623
61 -22.7171883
62 -22.7104002
63 -22.7186485
