#iter  k
1 85.1307659
2 86.3312097
3 87.0866582
4 87.6269056
5 87.8356862
6 87.9062765
7 87.9426104
8 88.1098577
9 88.2533383
10 88.1453885
11 88.0640187
12 88.0574967
13 87.9495140
14 88.1445812
15 88.2316896
16 88.2101253
17 88.1729316
18 88.1428644
19 88.0613621
20 88.0262506
21 88.0497006
22 87.9669573
23 88.0014622
24 88.0274133
25 88.0185210
26 88.1256345
27 88.1222257
28 88.1126470
29 88.1667632
30 88.1041610
31 88.1257070
32 88.1953836
33 88.2012123
34 88.1593406
35 88.1572084
36 88.2206818
37 88.0566492
38 88.0757102
39 88.0886301
40 88.1991813
41 88.1649185
42 88.1251529
43 88.1578334
44 88.1058326
45 88.1445695
46 88.0915551
47 88.0375037
48 88.0087849
49 88.0891784
50 88.1291509
51 88.0809760
52 88.2071821
53 88.2905747
54 88.2163573
55 88.2073624
56 88.2433403
57 88.1209781
58 88.0268319
59 88.1329538
60 88.1400655
61 88.1270531
62 88.1589465
63 88.2562907
