#iter  Sign
1 0.4031237
2 0.3936616
3 0.3916189
4 0.3895788
5 0.3864175
6 0.3814874
7 0.3835117
8 0.3820411
9 0.3829892
10 0.3809283
11 0.3847336
12 0.3829922
13 0.3789065
14 0.3858278
15 0.3836348
16 0.3797025
17 0.3828451
18 0.3822873
19 0.3801385
20 0.3787207
21 0.3857087
22 0.3848834
23 0.3844038
24 0.3810815
25 0.3839211
26 0.3850181
27 0.3810115
28 0.3826264
29 0.3826473
30 0.3824712
31 0.3805111
32 0.3854113
33 0.3822979
34 0.3805468
35 0.3836034
36 0.3811303
37 0.3824679
38 0.3844583
39 0.3839562
40 0.3846612
41 0.3791801
42 0.3825860
43 0.3822287
44 0.3831907
45 0.3818357
46 0.3842992
47 0.3826297
48 0.3846768
49 0.3837640
50 0.3858050
51 0.3816727
52 0.3817195
53 0.3822734
54 0.3830396
55 0.3833498
56 0.3853259
57 0.3825659
58 0.3816038
59 0.3842733
60 0.3821677
61 0.3790519
62 0.3825083
63 0.3832037
