#w_matsubara  SzSz   
 0.0000000  0.6374060
 0.1256637  0.5927199
 0.2513274  0.5180237
 0.3769911  0.4400976
 0.5026548  0.3664063
 0.6283185  0.3094739
 0.7539822  0.2618592
 0.8796459  0.2254964
 1.0053096  0.1950957
 1.1309734  0.1714847
 1.2566371  0.1512233
 1.3823008  0.1356765
 1.5079645  0.1221457
 1.6336282  0.1100741
 1.7592919  0.1006333
 1.8849556  0.0919012
 2.0106193  0.0840727
 2.1362830  0.0777016
 2.2619467  0.0717847
 2.3876104  0.0669179
 2.5132741  0.0616678
 2.6389378  0.0580590
 2.7646015  0.0542745
 2.8902652  0.0506492
 3.0159289  0.0479425
 3.1415927  0.0450958
 3.2672564  0.0426291
 3.3929201  0.0404679
 3.5185838  0.0381938
 3.6442475  0.0362692
 3.7699112  0.0344573
 3.8955749  0.0328856
 4.0212386  0.0313698
 4.1469023  0.0298451
 4.2725660  0.0285955
 4.3982297  0.0273797
 4.5238934  0.0262365
 4.6495571  0.0249924
 4.7752208  0.0241477
 4.9008845  0.0230894
 5.0265482  0.0222548
 5.1522120  0.0214062
 5.2778757  0.0206938
 5.4035394  0.0197979
 5.5292031  0.0191373
 5.6548668  0.0184820
 5.7805305  0.0177512
 5.9061942  0.0172542
 6.0318579  0.0166186
 6.1575216  0.0160684
 6.2831853  0.0156171
 6.4088490  0.0151152
 6.5345127  0.0146642
 6.6601764  0.0141861
 6.7858401  0.0137659
 6.9115038  0.0134193
 7.0371675  0.0129358
 7.1628313  0.0125727
 7.2884950  0.0122656
 7.4141587  0.0119365
 7.5398224  0.0116228
 7.6654861  0.0112799
 7.7911498  0.0109462
 7.9168135  0.0106465
 8.0424772  0.0103954
 8.1681409  0.0101354
 8.2938046  0.0098812
 8.4194683  0.0096379
 8.5451320  0.0093581
 8.6707957  0.0091735
 8.7964594  0.0089164
 8.9221231  0.0087216
 9.0477868  0.0085007
 9.1734505  0.0083405
 9.2991143  0.0081740
 9.4247780  0.0079871
 9.5504417  0.0078058
 9.6761054  0.0075820
 9.8017691  0.0074813
 9.9274328  0.0072875
 10.0530965  0.0071314
 10.1787602  0.0069452
 10.3044239  0.0068660
 10.4300876  0.0066830
 10.5557513  0.0065671
 10.6814150  0.0063830
 10.8070787  0.0062750
 10.9327424  0.0061459
 11.0584061  0.0060311
 11.1840698  0.0059251
 11.3097336  0.0057925
 11.4353973  0.0056690
 11.5610610  0.0056043
 11.6867247  0.0054810
 11.8123884  0.0053858
 11.9380521  0.0052872
 12.0637158  0.0051610
 12.1893795  0.0050751
 12.3150432  0.0050078
 12.4407069  0.0048999
 12.5663706  0.0048252
 12.6920343  0.0047713
 12.8176980  0.0046333
 12.9433617  0.0045730
 13.0690254  0.0044839
 13.1946891  0.0044267
 13.3203529  0.0043423
 13.4460166  0.0042805
 13.5716803  0.0041946
 13.6973440  0.0041211
 13.8230077  0.0040751
 13.9486714  0.0039931
 14.0743351  0.0039332
 14.1999988  0.0038634
 14.3256625  0.0038048
 14.4513262  0.0037309
 14.5769899  0.0036847
 14.7026536  0.0036314
 14.8283173  0.0035654
 14.9539810  0.0035237
 15.0796447  0.0034714
 15.2053084  0.0034421
 15.3309721  0.0033698
 15.4566359  0.0033211
 15.5822996  0.0032718
 15.7079633  0.0032174
 15.8336270  0.0031610
 15.9592907  0.0031342
 16.0849544  0.0030802
 16.2106181  0.0030357
 16.3362818  0.0029856
 16.4619455  0.0029397
 16.5876092  0.0029207
 16.7132729  0.0028594
 16.8389366  0.0028358
 16.9646003  0.0027923
 17.0902640  0.0027548
 17.2159277  0.0027149
 17.3415914  0.0026790
 17.4672552  0.0026343
 17.5929189  0.0026086
 17.7185826  0.0025705
 17.8442463  0.0025334
 17.9699100  0.0025066
 18.0955737  0.0024704
 18.2212374  0.0024400
 18.3469011  0.0024232
 18.4725648  0.0023892
 18.5982285  0.0023506
 18.7238922  0.0023170
 18.8495559  0.0022903
 18.9752196  0.0022595
 19.1008833  0.0022416
 19.2265470  0.0022081
 19.3522107  0.0021748
 19.4778745  0.0021576
 19.6035382  0.0021318
 19.7292019  0.0021090
 19.8548656  0.0020931
 19.9805293  0.0020479
 20.1061930  0.0020334
 20.2318567  0.0020170
 20.3575204  0.0019916
 20.4831841  0.0019648
 20.6088478  0.0019406
 20.7345115  0.0019131
 20.8601752  0.0019025
 20.9858389  0.0018805
 21.1115026  0.0018498
 21.2371663  0.0018366
 21.3628300  0.0018085
 21.4884938  0.0017966
 21.6141575  0.0017778
 21.7398212  0.0017547
 21.8654849  0.0017354
 21.9911486  0.0017198
 22.1168123  0.0017001
 22.2424760  0.0016762
 22.3681397  0.0016552
 22.4938034  0.0016438
 22.6194671  0.0016335
 22.7451308  0.0016182
 22.8707945  0.0015920
 22.9964582  0.0015714
 23.1221219  0.0015568
 23.2477856  0.0015489
 23.3734493  0.0015321
 23.4991130  0.0015050
 23.6247768  0.0014964
 23.7504405  0.0014845
 23.8761042  0.0014724
 24.0017679  0.0014551
 24.1274316  0.0014356
 24.2530953  0.0014278
 24.3787590  0.0014043
 24.5044227  0.0013972
 24.6300864  0.0013795
 24.7557501  0.0013664
 24.8814138  0.0013585
 25.0070775  0.0013392
 25.1327412  0.0013285
 25.2584049  0.0013140
 25.3840686  0.0013116
 25.5097323  0.0012870
 25.6353961  0.0012751
 25.7610598  0.0012627
 25.8867235  0.0012569
 26.0123872  0.0012442
 26.1380509  0.0012345
 26.2637146  0.0012257
 26.3893783  0.0012072
 26.5150420  0.0011987
 26.6407057  0.0011908
 26.7663694  0.0011812
 26.8920331  0.0011662
 27.0176968  0.0011570
 27.1433605  0.0011587
 27.2690242  0.0011371
 27.3946879  0.0011287
 27.5203516  0.0011121
 27.6460154  0.0011135
 27.7716791  0.0010975
 27.8973428  0.0010853
 28.0230065  0.0010761
 28.1486702  0.0010702
 28.2743339  0.0010582
 28.3999976  0.0010467
 28.5256613  0.0010392
 28.6513250  0.0010345
 28.7769887  0.0010203
 28.9026524  0.0010110
 29.0283161  0.0010086
 29.1539798  0.0010044
 29.2796435  0.0009920
 29.4053072  0.0009772
 29.5309709  0.0009769
 29.6566346  0.0009710
 29.7822984  0.0009614
 29.9079621  0.0009568
 30.0336258  0.0009444
 30.1592895  0.0009336
 30.2849532  0.0009227
 30.4106169  0.0009210
 30.5362806  0.0009125
 30.6619443  0.0009069
 30.7876080  0.0009013
 30.9132717  0.0008893
 31.0389354  0.0008857
 31.1645991  0.0008777
 31.2902628  0.0008706
 31.4159265  0.0008603
 31.5415902  0.0008602
 31.6672539  0.0008487
 31.7929177  0.0008459
 31.9185814  0.0008358
 32.0442451  0.0008333
 32.1699088  0.0008234
 32.2955725  0.0008201
 32.4212362  0.0008131
 32.5468999  0.0008087
 32.6725636  0.0008028
 32.7982273  0.0007958
 32.9238910  0.0007889
 33.0495547  0.0007809
 33.1752184  0.0007769
 33.3008821  0.0007707
 33.4265458  0.0007659
 33.5522095  0.0007623
 33.6778732  0.0007529
 33.8035370  0.0007519
 33.9292007  0.0007457
 34.0548644  0.0007449
 34.1805281  0.0007367
 34.3061918  0.0007295
 34.4318555  0.0007234
 34.5575192  0.0007169
 34.6831829  0.0007104
 34.8088466  0.0007075
 34.9345103  0.0007069
 35.0601740  0.0006978
 35.1858377  0.0006906
 35.3115014  0.0006856
 35.4371651  0.0006841
 35.5628288  0.0006822
 35.6884925  0.0006721
 35.8141563  0.0006698
 35.9398200  0.0006659
 36.0654837  0.0006646
 36.1911474  0.0006557
 36.3168111  0.0006542
 36.4424748  0.0006461
 36.5681385  0.0006421
 36.6938022  0.0006358
 36.8194659  0.0006350
 36.9451296  0.0006309
 37.0707933  0.0006232
 37.1964570  0.0006226
 37.3221207  0.0006200
 37.4477844  0.0006122
 37.5734481  0.0006110
 37.6991118  0.0006083
 37.8247755  0.0006022
 37.9504393  0.0006028
 38.0761030  0.0005886
 38.2017667  0.0005887
 38.3274304  0.0005884
 38.4530941  0.0005820
 38.5787578  0.0005794
 38.7044215  0.0005750
 38.8300852  0.0005744
 38.9557489  0.0005671
 39.0814126  0.0005654
 39.2070763  0.0005614
 39.3327400  0.0005572
 39.4584037  0.0005541
 39.5840674  0.0005525
 39.7097311  0.0005469
 39.8353948  0.0005428
 39.9610586  0.0005377
