#w_matsubara  SzSz   
 0.0000000  1.5234388
 0.2731820  0.7049663
 0.5463639  0.4183515
 0.8195459  0.2815578
 1.0927279  0.2041368
 1.3659098  0.1560140
 1.6390918  0.1233302
 1.9122738  0.1006178
 2.1854558  0.0836142
 2.4586377  0.0709727
 2.7318197  0.0610505
 3.0050017  0.0530819
 3.2781836  0.0466788
 3.5513656  0.0413741
 3.8245476  0.0369691
 4.0977295  0.0332641
 4.3709115  0.0301738
 4.6440935  0.0274120
 4.9172755  0.0250714
 5.1904574  0.0229705
 5.4636394  0.0211843
 5.7368214  0.0195486
 6.0100033  0.0181472
 6.2831853  0.0168728
 6.5563673  0.0157664
 6.8295492  0.0147471
 7.1027312  0.0137756
 7.3759132  0.0129429
 7.6490952  0.0122004
 7.9222771  0.0115015
 8.1954591  0.0108295
 8.4686411  0.0102592
 8.7418230  0.0097044
 9.0150050  0.0092039
 9.2881870  0.0087607
 9.5613689  0.0083354
 9.8345509  0.0079220
 10.1077329  0.0075480
 10.3809149  0.0072164
 10.6540968  0.0068965
 10.9272788  0.0066066
 11.2004608  0.0062965
 11.4736427  0.0060462
 11.7468247  0.0058053
 12.0200067  0.0055588
 12.2931886  0.0053370
 12.5663706  0.0051419
 12.8395526  0.0049416
 13.1127346  0.0047520
 13.3859165  0.0045842
 13.6590985  0.0044155
 13.9322805  0.0042683
 14.2054624  0.0041177
 14.4786444  0.0039736
 14.7518264  0.0038425
 15.0250083  0.0037115
 15.2981903  0.0035992
 15.5713723  0.0034757
 15.8445543  0.0033777
 16.1177362  0.0032653
 16.3909182  0.0031703
 16.6641002  0.0030663
 16.9372821  0.0029733
 17.2104641  0.0028868
 17.4836461  0.0028057
 17.7568280  0.0027220
 18.0300100  0.0026491
 18.3031920  0.0025732
 18.5763740  0.0025048
 18.8495559  0.0024323
 19.1227379  0.0023736
 19.3959199  0.0023126
 19.6691018  0.0022505
 19.9422838  0.0021910
 20.2154658  0.0021398
 20.4886477  0.0020863
 20.7618297  0.0020307
 21.0350117  0.0019814
 21.3081937  0.0019364
 21.5813756  0.0018859
 21.8545576  0.0018471
 22.1277396  0.0018016
 22.4009215  0.0017614
 22.6741035  0.0017162
 22.9472855  0.0016816
 23.2204674  0.0016447
 23.4936494  0.0016049
 23.7668314  0.0015705
 24.0400133  0.0015358
 24.3131953  0.0015025
 24.5863773  0.0014734
 24.8595593  0.0014413
 25.1327412  0.0014125
 25.4059232  0.0013827
 25.6791052  0.0013506
 25.9522871  0.0013284
 26.2254691  0.0012993
 26.4986511  0.0012724
 26.7718330  0.0012486
 27.0450150  0.0012247
 27.3181970  0.0011978
 27.5913790  0.0011791
 27.8645609  0.0011529
 28.1377429  0.0011346
 28.4109249  0.0011140
 28.6841068  0.0010929
 28.9572888  0.0010722
 29.2304708  0.0010542
 29.5036527  0.0010350
 29.7768347  0.0010178
 30.0500167  0.0009971
 30.3231987  0.0009822
 30.5963806  0.0009648
 30.8695626  0.0009470
 31.1427446  0.0009294
 31.4159265  0.0009164
 31.6891085  0.0008993
 31.9622905  0.0008848
 32.2354724  0.0008684
 32.5086544  0.0008557
 32.7818364  0.0008423
 33.0550184  0.0008281
 33.3282003  0.0008150
 33.6013823  0.0008034
 33.8745643  0.0007912
 34.1477462  0.0007786
 34.4209282  0.0007661
 34.6941102  0.0007541
 34.9672921  0.0007442
 35.2404741  0.0007297
 35.5136561  0.0007207
 35.7868381  0.0007087
 36.0600200  0.0006998
 36.3332020  0.0006901
 36.6063840  0.0006787
 36.8795659  0.0006693
 37.1527479  0.0006598
 37.4259299  0.0006507
 37.6991118  0.0006397
 37.9722938  0.0006318
 38.2454758  0.0006224
 38.5186578  0.0006139
 38.7918397  0.0006053
 39.0650217  0.0005971
 39.3382037  0.0005909
 39.6113856  0.0005811
 39.8845676  0.0005746
