#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1365910  0.0191286 -0.4161101  0.1674263  0.0249798 -0.0379720  0.2187575 -0.0020389 -0.0000837
 0.4097730 -0.0047928 -0.3452644  0.1325722  0.0144568 -0.0174541  0.1340743 -0.0003670  0.0000108
 0.6829549 -0.0109220 -0.3019519  0.1077357  0.0105437 -0.0118497  0.0920889 -0.0002429 -0.0000356
 0.9561369 -0.0113268 -0.2715247  0.0901101  0.0090765 -0.0100582  0.0674780 -0.0001079  0.0000358
 1.2293189 -0.0098425 -0.2489798  0.0773070  0.0084501 -0.0091413  0.0518986 -0.0001713 -0.0000011
 1.5025008 -0.0075372 -0.2310318  0.0673592  0.0081561 -0.0087230  0.0411279 -0.0000779  0.0002075
 1.7756828 -0.0048243 -0.2161793  0.0591571  0.0080508 -0.0085838  0.0334701  0.0002718 -0.0000482
 2.0488648 -0.0020524 -0.2040845  0.0526524  0.0079378 -0.0082227  0.0276107 -0.0000037  0.0000877
 2.3220467 -0.0000875 -0.1932610  0.0475344  0.0076940 -0.0075252  0.0229789  0.0003689 -0.0003169
 2.5952287  0.0020560 -0.1843812  0.0431297  0.0072167 -0.0070425  0.0194639 -0.0001500 -0.0000052
 2.8684107  0.0035857 -0.1762242  0.0390809  0.0070862 -0.0069357  0.0168404  0.0001229 -0.0001919
 3.1415927  0.0051278 -0.1690524  0.0355247  0.0067061 -0.0062447  0.0148483 -0.0003096 -0.0000385
 3.4147746  0.0063320 -0.1622614  0.0329825  0.0060887 -0.0056915  0.0129174  0.0000373  0.0001205
 3.6879566  0.0072539 -0.1564181  0.0303781  0.0061665 -0.0054548  0.0114117 -0.0000735 -0.0001778
 3.9611386  0.0077436 -0.1509699  0.0281561  0.0056463 -0.0049774  0.0097682  0.0000994  0.0001866
 4.2343205  0.0086591 -0.1462474  0.0260519  0.0051539 -0.0045792  0.0088320 -0.0001967 -0.0002904
 4.5075025  0.0091208 -0.1413474  0.0243102  0.0048810 -0.0040969  0.0077360 -0.0000888  0.0001264
 4.7806845  0.0092062 -0.1370977  0.0226038  0.0045241 -0.0040496  0.0068223 -0.0000882 -0.0001930
 5.0538664  0.0095927 -0.1325612  0.0213347  0.0040956 -0.0038642  0.0061146 -0.0002123  0.0000419
 5.3270484  0.0094973 -0.1290359  0.0198453  0.0039536 -0.0036544  0.0058128  0.0001340  0.0000747
 5.6002304  0.0096253 -0.1255471  0.0186156  0.0037430 -0.0031701  0.0051659 -0.0001180  0.0002086
 5.8734124  0.0095770 -0.1218397  0.0175784  0.0036085 -0.0032354  0.0042307  0.0001673  0.0000317
 6.1465943  0.0096164 -0.1186918  0.0163802  0.0032919 -0.0024410  0.0044481 -0.0000031  0.0000754
 6.4197763  0.0094380 -0.1155455  0.0155884  0.0031935 -0.0027813  0.0042889 -0.0000363 -0.0001236
 6.6929583  0.0092805 -0.1127912  0.0146384  0.0026319 -0.0023391  0.0032343  0.0000568 -0.0001280
 6.9661402  0.0090629 -0.1094994  0.0138229  0.0025910 -0.0020692  0.0025387 -0.0000681  0.0000770
 7.2393222  0.0089282 -0.1065637  0.0130481  0.0024333 -0.0020743  0.0027680 -0.0000634 -0.0000311
 7.5125042  0.0087385 -0.1044112  0.0125051  0.0023016 -0.0015990  0.0028751  0.0000346  0.0001908
 7.7856861  0.0088587 -0.1019666  0.0118133  0.0021433 -0.0016506  0.0025219 -0.0000976  0.0000414
 8.0588681  0.0089152 -0.0995614  0.0111602  0.0018841 -0.0016911  0.0020041  0.0002764 -0.0001172
 8.3320501  0.0080472 -0.0974279  0.0107255  0.0016791 -0.0013323  0.0021117 -0.0000216  0.0000027
 8.6052321  0.0080608 -0.0950171  0.0103076  0.0017921 -0.0011516  0.0017353  0.0000365  0.0000302
 8.8784140  0.0079421 -0.0935309  0.0096513  0.0015752 -0.0014359  0.0014452  0.0000586 -0.0000340
 9.1515960  0.0073887 -0.0908006  0.0089151  0.0015928 -0.0011448  0.0018903 -0.0000652  0.0001770
 9.4247780  0.0072179 -0.0890898  0.0086936  0.0014169 -0.0012825  0.0016467  0.0001017 -0.0001238
 9.6979599  0.0072930 -0.0871964  0.0085729  0.0014747 -0.0011001  0.0016222  0.0001548  0.0003078
 9.9711419  0.0071405 -0.0856615  0.0079477  0.0012552 -0.0010131  0.0014361  0.0001493 -0.0001355
 10.2443239  0.0066946 -0.0837097  0.0076317  0.0011411 -0.0006936  0.0010310  0.0002215  0.0000388
 10.5175058  0.0063556 -0.0820348  0.0072677  0.0012429 -0.0008698  0.0011629  0.0001215 -0.0000766
 10.7906878  0.0064274 -0.0806257  0.0067387  0.0011344 -0.0009758  0.0010851 -0.0002374 -0.0000775
 11.0638698  0.0063397 -0.0787299  0.0064999  0.0010661 -0.0008744  0.0009937  0.0001609  0.0001009
 11.3370517  0.0060803 -0.0771078  0.0065424  0.0008868 -0.0011154  0.0008245 -0.0003148 -0.0000817
 11.6102337  0.0057530 -0.0760687  0.0061624  0.0008706 -0.0008942  0.0008897  0.0001353  0.0000430
 11.8834157  0.0057819 -0.0746180  0.0057936  0.0009219 -0.0005597  0.0009726 -0.0000498  0.0000747
 12.1565977  0.0057077 -0.0732332  0.0057023  0.0007853 -0.0009971  0.0006862 -0.0000628  0.0000694
 12.4297796  0.0053023 -0.0719382  0.0055746  0.0007904 -0.0005789  0.0011887  0.0000511 -0.0001682
 12.7029616  0.0052975 -0.0705599  0.0052494  0.0008535 -0.0007411  0.0007436 -0.0001280  0.0001291
 12.9761436  0.0049137 -0.0692983  0.0052241  0.0006411 -0.0005245  0.0008168 -0.0000515 -0.0002131
 13.2493255  0.0049854 -0.0678184  0.0051774  0.0006685 -0.0005766  0.0004731 -0.0000916  0.0002906
 13.5225075  0.0050836 -0.0672063  0.0049224  0.0007692 -0.0005194  0.0006312 -0.0000737  0.0000339
 13.7956895  0.0050039 -0.0661122  0.0046527  0.0007450 -0.0006124  0.0005321  0.0001464  0.0000406
 14.0688714  0.0046373 -0.0647273  0.0043364  0.0006135 -0.0005555  0.0002290  0.0001284 -0.0000503
 14.3420534  0.0047877 -0.0638645  0.0042354  0.0005887 -0.0008274  0.0005364 -0.0000519 -0.0000753
 14.6152354  0.0042988 -0.0627747  0.0040037  0.0003921 -0.0006938  0.0002458  0.0001362 -0.0001555
 14.8884174  0.0044784 -0.0618078  0.0039855  0.0004502 -0.0006437  0.0004349 -0.0002040  0.0000510
 15.1615993  0.0041905 -0.0607104  0.0038914  0.0005353 -0.0001654  0.0005382  0.0000086 -0.0001487
 15.4347813  0.0041731 -0.0601561  0.0038217  0.0002678 -0.0002534  0.0004847 -0.0001526  0.0002431
 15.7079633  0.0036696 -0.0588541  0.0037885  0.0004246 -0.0005842  0.0007201  0.0000050 -0.0000331
 15.9811452  0.0040403 -0.0583083  0.0036902  0.0005339 -0.0003386  0.0003888  0.0001048  0.0000397
 16.2543272  0.0037584 -0.0575180  0.0033640  0.0002425 -0.0005836 -0.0000115  0.0001002 -0.0000217
 16.5275092  0.0034660 -0.0564621  0.0030509  0.0004866 -0.0003134  0.0003268 -0.0001098  0.0000082
 16.8006911  0.0036295 -0.0555505  0.0031145  0.0005896 -0.0005377  0.0002856  0.0001213  0.0001063
 17.0738731  0.0032427 -0.0549316  0.0029068  0.0005492 -0.0003743  0.0005168 -0.0002227 -0.0000821
 17.3470551  0.0035953 -0.0538446  0.0030199  0.0005497 -0.0005562  0.0000016  0.0001737  0.0000481
 17.6202371  0.0033348 -0.0532648  0.0028954  0.0004207 -0.0002584  0.0004305  0.0000831  0.0000812
 17.8934190  0.0035682 -0.0524562  0.0029700  0.0001823 -0.0004421  0.0000845  0.0002297  0.0001380
 18.1666010  0.0036195 -0.0518482  0.0028819  0.0002229 -0.0008301  0.0003007  0.0002106 -0.0001965
 18.4397830  0.0029926 -0.0511320  0.0024839  0.0003115 -0.0004017  0.0004557 -0.0000242  0.0000442
 18.7129649  0.0029916 -0.0505058  0.0026635  0.0002374 -0.0004797  0.0003911 -0.0000112 -0.0003088
 18.9861469  0.0029827 -0.0501414  0.0025067  0.0002958 -0.0001569  0.0004183 -0.0001382 -0.0000055
 19.2593289  0.0027749 -0.0494358  0.0024914  0.0001950 -0.0001270  0.0001154 -0.0001362 -0.0000839
 19.5325108  0.0028288 -0.0483620  0.0025123  0.0004069 -0.0004883  0.0004557 -0.0000814  0.0001212
 19.8056928  0.0028112 -0.0481621  0.0025226  0.0003106 -0.0002302  0.0004612  0.0000350  0.0000498
