#w_matsubara  SzSz   
 0.0000000  1.4866358
 0.2731820  0.6984260
 0.5463639  0.4150261
 0.8195459  0.2806676
 1.0927279  0.2037965
 1.3659098  0.1556323
 1.6390918  0.1234324
 1.9122738  0.1004648
 2.1854558  0.0835114
 2.4586377  0.0708621
 2.7318197  0.0609359
 3.0050017  0.0531377
 3.2781836  0.0465868
 3.5513656  0.0413291
 3.8245476  0.0369723
 4.0977295  0.0332228
 4.3709115  0.0301125
 4.6440935  0.0273132
 4.9172755  0.0249785
 5.1904574  0.0229859
 5.4636394  0.0211785
 5.7368214  0.0195690
 6.0100033  0.0181303
 6.2831853  0.0168312
 6.5563673  0.0157349
 6.8295492  0.0146972
 7.1027312  0.0137731
 7.3759132  0.0129365
 7.6490952  0.0122000
 7.9222771  0.0114626
 8.1954591  0.0108256
 8.4686411  0.0102523
 8.7418230  0.0097082
 9.0150050  0.0092109
 9.2881870  0.0087379
 9.5613689  0.0083300
 9.8345509  0.0079163
 10.1077329  0.0075458
 10.3809149  0.0072092
 10.6540968  0.0068955
 10.9272788  0.0065732
 11.2004608  0.0063062
 11.4736427  0.0060490
 11.7468247  0.0057880
 12.0200067  0.0055585
 12.2931886  0.0053288
 12.5663706  0.0051281
 12.8395526  0.0049329
 13.1127346  0.0047577
 13.3859165  0.0045701
 13.6590985  0.0044184
 13.9322805  0.0042634
 14.2054624  0.0041113
 14.4786444  0.0039666
 14.7518264  0.0038317
 15.0250083  0.0037181
 15.2981903  0.0035930
 15.5713723  0.0034742
 15.8445543  0.0033637
 16.1177362  0.0032653
 16.3909182  0.0031551
 16.6641002  0.0030597
 16.9372821  0.0029772
 17.2104641  0.0028815
 17.4836461  0.0028057
 17.7568280  0.0027215
 18.0300100  0.0026376
 18.3031920  0.0025730
 18.5763740  0.0024965
 18.8495559  0.0024372
 19.1227379  0.0023678
 19.3959199  0.0023081
 19.6691018  0.0022457
 19.9422838  0.0021905
 20.2154658  0.0021340
 20.4886477  0.0020823
 20.7618297  0.0020272
 21.0350117  0.0019821
 21.3081937  0.0019296
 21.5813756  0.0018848
 21.8545576  0.0018410
 22.1277396  0.0017931
 22.4009215  0.0017571
 22.6741035  0.0017152
 22.9472855  0.0016751
 23.2204674  0.0016384
 23.4936494  0.0016033
 23.7668314  0.0015688
 24.0400133  0.0015323
 24.3131953  0.0015044
 24.5863773  0.0014683
 24.8595593  0.0014401
 25.1327412  0.0014079
 25.4059232  0.0013790
 25.6791052  0.0013560
 25.9522871  0.0013242
 26.2254691  0.0013001
 26.4986511  0.0012730
 26.7718330  0.0012483
 27.0450150  0.0012237
 27.3181970  0.0011980
 27.5913790  0.0011752
 27.8645609  0.0011555
 28.1377429  0.0011325
 28.4109249  0.0011123
 28.6841068  0.0010891
 28.9572888  0.0010713
 29.2304708  0.0010537
 29.5036527  0.0010347
 29.7768347  0.0010149
 30.0500167  0.0009951
 30.3231987  0.0009795
 30.5963806  0.0009617
 30.8695626  0.0009462
 31.1427446  0.0009293
 31.4159265  0.0009153
 31.6891085  0.0008995
 31.9622905  0.0008842
 32.2354724  0.0008693
 32.5086544  0.0008557
 32.7818364  0.0008421
 33.0550184  0.0008265
 33.3282003  0.0008138
 33.6013823  0.0008018
 33.8745643  0.0007901
 34.1477462  0.0007774
 34.4209282  0.0007660
 34.6941102  0.0007540
 34.9672921  0.0007437
 35.2404741  0.0007303
 35.5136561  0.0007202
 35.7868381  0.0007116
 36.0600200  0.0006986
 36.3332020  0.0006885
 36.6063840  0.0006783
 36.8795659  0.0006673
 37.1527479  0.0006589
 37.4259299  0.0006488
 37.6991118  0.0006402
 37.9722938  0.0006308
 38.2454758  0.0006231
 38.5186578  0.0006130
 38.7918397  0.0006061
 39.0650217  0.0005964
 39.3382037  0.0005890
 39.6113856  0.0005799
 39.8845676  0.0005739
