#iter  k
1 68.2037042
2 69.2389332
3 69.7862866
4 70.1991500
5 70.4397588
6 70.4900322
7 70.5653340
8 70.5732321
9 70.6000873
10 70.6239328
11 70.6175604
12 70.5768850
13 70.6121307
14 70.6755674
15 70.6718349
16 70.6359973
17 70.7190867
18 70.7818058
19 70.7905499
20 70.7988613
21 70.8449099
22 70.8442715
23 70.8342475
24 70.8175882
25 70.8061203
26 70.8097077
27 70.8112909
28 70.7975596
29 70.7417820
30 70.7091573
31 70.7588145
32 70.7614011
33 70.7253305
34 70.8240476
35 70.8110889
36 70.7142726
37 70.7060832
38 70.7062657
39 70.6357769
40 70.6311933
41 70.5673801
42 70.5978882
43 70.5960535
44 70.6687507
45 70.7278812
46 70.6689324
47 70.6260022
48 70.5594347
49 70.6121059
50 70.6516194
51 70.6540924
52 70.6273169
53 70.6278997
54 70.5966903
55 70.6345690
56 70.6676157
57 70.7590383
58 70.8139960
59 70.7644281
60 70.7491798
61 70.7874803
62 70.7300886
63 70.7059884
64 70.6528920
