#w_matsubara  SzSz   
 0.0000000  0.6784007
 0.1570796  0.6004188
 0.3141593  0.4868477
 0.4712389  0.3892012
 0.6283185  0.3122626
 0.7853982  0.2545183
 0.9424778  0.2125422
 1.0995574  0.1792115
 1.2566371  0.1540398
 1.4137167  0.1339399
 1.5707963  0.1169087
 1.7278760  0.1038264
 1.8849556  0.0927384
 2.0420352  0.0831835
 2.1991149  0.0750659
 2.3561945  0.0683857
 2.5132741  0.0623246
 2.6703538  0.0573858
 2.8274334  0.0528632
 2.9845130  0.0489892
 3.1415927  0.0453864
 3.2986723  0.0420935
 3.4557519  0.0394965
 3.6128316  0.0369183
 3.7699112  0.0347790
 3.9269908  0.0325224
 4.0840704  0.0307758
 4.2411501  0.0290261
 4.3982297  0.0274804
 4.5553093  0.0259898
 4.7123890  0.0247122
 4.8694686  0.0234432
 5.0265482  0.0223365
 5.1836279  0.0212513
 5.3407075  0.0202879
 5.4977871  0.0194459
 5.6548668  0.0186095
 5.8119464  0.0177811
 5.9690260  0.0170173
 6.1261057  0.0163051
 6.2831853  0.0157532
 6.4402649  0.0150341
 6.5973446  0.0145557
 6.7544242  0.0139835
 6.9115038  0.0134529
 7.0685835  0.0129598
 7.2256631  0.0124643
 7.3827427  0.0120497
 7.5398224  0.0116023
 7.6969020  0.0112830
 7.8539816  0.0108772
 8.0110613  0.0105398
 8.1681409  0.0101635
 8.3252205  0.0098554
 8.4823002  0.0095476
 8.6393798  0.0092697
 8.7964594  0.0089945
 8.9535391  0.0087284
 9.1106187  0.0084921
 9.2676983  0.0081981
 9.4247780  0.0079893
 9.5818576  0.0077648
 9.7389372  0.0075684
 9.8960169  0.0073304
 10.0530965  0.0071429
 10.2101761  0.0069649
 10.3672558  0.0067884
 10.5243354  0.0066137
 10.6814150  0.0064332
 10.8384947  0.0062659
 10.9955743  0.0061204
 11.1526539  0.0059614
 11.3097336  0.0058232
 11.4668132  0.0056623
 11.6238928  0.0055610
 11.7809725  0.0054355
 11.9380521  0.0053104
 12.0951317  0.0051677
 12.2522113  0.0050642
 12.4092910  0.0049460
 12.5663706  0.0048312
 12.7234502  0.0047085
 12.8805299  0.0046390
 13.0376095  0.0045404
 13.1946891  0.0044336
 13.3517688  0.0043464
 13.5088484  0.0042348
 13.6659280  0.0041477
 13.8230077  0.0040838
 13.9800873  0.0039942
 14.1371669  0.0039183
 14.2942466  0.0038211
 14.4513262  0.0037495
 14.6084058  0.0036883
 14.7654855  0.0036379
 14.9225651  0.0035298
 15.0796447  0.0034753
 15.2367244  0.0034129
 15.3938040  0.0033387
 15.5508836  0.0032937
 15.7079633  0.0032337
 15.8650429  0.0031673
 16.0221225  0.0031313
 16.1792022  0.0030616
 16.3362818  0.0030096
 16.4933614  0.0029486
 16.6504411  0.0029078
 16.8075207  0.0028506
 16.9646003  0.0028088
 17.1216800  0.0027535
 17.2787596  0.0026990
 17.4358392  0.0026716
 17.5929189  0.0026219
 17.7499985  0.0025866
 17.9070781  0.0025318
 18.0641578  0.0024881
 18.2212374  0.0024577
 18.3783170  0.0024158
 18.5353967  0.0023747
 18.6924763  0.0023506
 18.8495559  0.0023043
 19.0066356  0.0022754
 19.1637152  0.0022266
 19.3207948  0.0021947
 19.4778745  0.0021689
 19.6349541  0.0021449
 19.7920337  0.0021102
 19.9491134  0.0020684
 20.1061930  0.0020353
 20.2632726  0.0020195
 20.4203522  0.0019836
 20.5774319  0.0019555
 20.7345115  0.0019256
 20.8915911  0.0018910
 21.0486708  0.0018703
 21.2057504  0.0018391
 21.3628300  0.0018259
 21.5199097  0.0018011
 21.6769893  0.0017752
 21.8340689  0.0017494
 21.9911486  0.0017224
 22.1482282  0.0017053
 22.3053078  0.0016755
 22.4623875  0.0016530
 22.6194671  0.0016337
 22.7765467  0.0016133
 22.9336264  0.0015913
 23.0907060  0.0015719
 23.2477856  0.0015509
 23.4048653  0.0015267
 23.5619449  0.0015118
 23.7190245  0.0014931
 23.8761042  0.0014732
 24.0331838  0.0014572
 24.1902634  0.0014395
 24.3473431  0.0014230
 24.5044227  0.0014055
 24.6615023  0.0013904
 24.8185820  0.0013637
 24.9756616  0.0013538
 25.1327412  0.0013352
 25.2898209  0.0013226
 25.4469005  0.0012990
 25.6039801  0.0012882
 25.7610598  0.0012743
 25.9181394  0.0012571
 26.0752190  0.0012461
 26.2322987  0.0012309
 26.3893783  0.0012131
 26.5464579  0.0012046
 26.7035376  0.0011812
 26.8606172  0.0011734
 27.0176968  0.0011626
 27.1747765  0.0011497
 27.3318561  0.0011402
 27.4889357  0.0011222
 27.6460154  0.0011133
 27.8030950  0.0011018
 27.9601746  0.0010876
 28.1172542  0.0010783
 28.2743339  0.0010656
 28.4314135  0.0010535
 28.5884931  0.0010412
 28.7455728  0.0010321
 28.9026524  0.0010222
 29.0597320  0.0010103
 29.2168117  0.0010015
 29.3738913  0.0009905
 29.5309709  0.0009798
 29.6880506  0.0009706
 29.8451302  0.0009597
 30.0022098  0.0009526
 30.1592895  0.0009401
 30.3163691  0.0009300
 30.4734487  0.0009238
 30.6305284  0.0009110
 30.7876080  0.0009018
 30.9446876  0.0008934
 31.1017673  0.0008845
 31.2588469  0.0008766
 31.4159265  0.0008689
 31.5730062  0.0008589
 31.7300858  0.0008495
 31.8871654  0.0008456
 32.0442451  0.0008354
 32.2013247  0.0008272
 32.3584043  0.0008195
 32.5154840  0.0008118
 32.6725636  0.0008051
 32.8296432  0.0007977
 32.9867229  0.0007884
 33.1438025  0.0007834
 33.3008821  0.0007754
 33.4579618  0.0007717
 33.6150414  0.0007590
 33.7721210  0.0007522
 33.9292007  0.0007466
 34.0862803  0.0007380
 34.2433599  0.0007366
 34.4004396  0.0007298
 34.5575192  0.0007229
 34.7145988  0.0007136
 34.8716785  0.0007103
 35.0287581  0.0007027
 35.1858377  0.0006961
 35.3429174  0.0006915
 35.4999970  0.0006840
 35.6570766  0.0006793
 35.8141563  0.0006714
 35.9712359  0.0006648
 36.1283155  0.0006627
 36.2853951  0.0006546
 36.4424748  0.0006522
 36.5995544  0.0006475
 36.7566340  0.0006382
 36.9137137  0.0006357
 37.0707933  0.0006292
 37.2278729  0.0006249
 37.3849526  0.0006181
 37.5420322  0.0006133
 37.6991118  0.0006074
 37.8561915  0.0006034
 38.0132711  0.0005979
 38.1703507  0.0005956
 38.3274304  0.0005872
 38.4845100  0.0005846
 38.6415896  0.0005806
 38.7986693  0.0005774
 38.9557489  0.0005711
 39.1128285  0.0005652
 39.2699082  0.0005632
 39.4269878  0.0005591
 39.5840674  0.0005493
 39.7411471  0.0005491
 39.8982267  0.0005444
