#iter  E
1 -22.7760202
2 -22.7545580
3 -22.7447731
4 -22.7314310
5 -22.7186780
6 -22.7202251
7 -22.7188836
8 -22.7089718
9 -22.7081651
10 -22.7221103
11 -22.7115341
12 -22.7162326
13 -22.7181881
14 -22.7202004
15 -22.7137414
16 -22.7133395
17 -22.7060783
18 -22.7091577
19 -22.7025314
20 -22.7167548
21 -22.7107192
22 -22.7106888
23 -22.7170824
24 -22.7116386
25 -22.7107464
26 -22.7152088
27 -22.7174300
28 -22.6966700
29 -22.7137265
30 -22.7088757
31 -22.7210675
32 -22.7119995
33 -22.7153789
34 -22.7154742
35 -22.7151451
36 -22.7224329
37 -22.7320668
38 -22.7143387
39 -22.7167248
40 -22.7210769
41 -22.7224590
42 -22.7151654
43 -22.7163025
44 -22.7153112
45 -22.7132363
46 -22.7140555
47 -22.7137282
48 -22.7093131
49 -22.7098315
50 -22.7126932
51 -22.7112447
52 -22.7192025
53 -22.7164122
54 -22.7121673
55 -22.7178807
56 -22.7130970
57 -22.7185835
58 -22.7093420
59 -22.7136041
60 -22.7183437
61 -22.7214723
62 -22.7219887
63 -22.7110577
64 -22.7160429
