#w_matsubara  SzSz   
 0.0000000  0.6664982
 0.1570796  0.5953425
 0.3141593  0.4877081
 0.4712389  0.3878039
 0.6283185  0.3131596
 0.7853982  0.2552288
 0.9424778  0.2122074
 1.0995574  0.1786266
 1.2566371  0.1535756
 1.4137167  0.1328869
 1.5707963  0.1171655
 1.7278760  0.1039515
 1.8849556  0.0924036
 2.0420352  0.0832340
 2.1991149  0.0751303
 2.3561945  0.0683003
 2.5132741  0.0624407
 2.6703538  0.0572957
 2.8274334  0.0530198
 2.9845130  0.0489317
 3.1415927  0.0453161
 3.2986723  0.0422497
 3.4557519  0.0394402
 3.6128316  0.0369982
 3.7699112  0.0346150
 3.9269908  0.0324858
 4.0840704  0.0307810
 4.2411501  0.0290160
 4.3982297  0.0272978
 4.5553093  0.0259442
 4.7123890  0.0246752
 4.8694686  0.0234875
 5.0265482  0.0223143
 5.1836279  0.0212604
 5.3407075  0.0203215
 5.4977871  0.0193284
 5.6548668  0.0184972
 5.8119464  0.0176964
 5.9690260  0.0170267
 6.1261057  0.0163757
 6.2831853  0.0156196
 6.4402649  0.0150503
 6.5973446  0.0144407
 6.7544242  0.0139225
 6.9115038  0.0134930
 7.0685835  0.0128896
 7.2256631  0.0125274
 7.3827427  0.0120811
 7.5398224  0.0116584
 7.6969020  0.0112071
 7.8539816  0.0108712
 8.0110613  0.0105178
 8.1681409  0.0101934
 8.3252205  0.0098916
 8.4823002  0.0095491
 8.6393798  0.0092775
 8.7964594  0.0089942
 8.9535391  0.0087388
 9.1106187  0.0084643
 9.2676983  0.0082330
 9.4247780  0.0079831
 9.5818576  0.0077916
 9.7389372  0.0075453
 9.8960169  0.0073505
 10.0530965  0.0071859
 10.2101761  0.0069749
 10.3672558  0.0068130
 10.5243354  0.0065957
 10.6814150  0.0064417
 10.8384947  0.0062739
 10.9955743  0.0061093
 11.1526539  0.0059782
 11.3097336  0.0058515
 11.4668132  0.0056786
 11.6238928  0.0055467
 11.7809725  0.0054368
 11.9380521  0.0053177
 12.0951317  0.0051692
 12.2522113  0.0050518
 12.4092910  0.0049445
 12.5663706  0.0048294
 12.7234502  0.0047325
 12.8805299  0.0046356
 13.0376095  0.0045212
 13.1946891  0.0044298
 13.3517688  0.0043301
 13.5088484  0.0042308
 13.6659280  0.0041698
 13.8230077  0.0040854
 13.9800873  0.0039894
 14.1371669  0.0038912
 14.2942466  0.0038401
 14.4513262  0.0037630
