#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.0785398 -0.0176769 -0.2355132  0.1876613  0.0233459 -0.0436630  0.1200509 -0.2828903 -0.0000735
 0.2356194 -0.0166862 -0.3415201  0.1554050  0.0236629 -0.0202667  0.1601570 -0.1177255  0.0000752
 0.3926991 -0.0183753 -0.3283137  0.1349727  0.0186671 -0.0142426  0.1340540 -0.0525689 -0.0000754
 0.5497787 -0.0189035 -0.3067436  0.1191907  0.0154793 -0.0114969  0.1087190 -0.0268452 -0.0000362
 0.7068583 -0.0182637 -0.2876568  0.1069309  0.0135096 -0.0104295  0.0898672 -0.0154279 -0.0000721
 0.8639380 -0.0169332 -0.2715827  0.0965935  0.0123845 -0.0101585  0.0755446 -0.0095235 -0.0001132
 1.0210176 -0.0152230 -0.2574983  0.0877628  0.0114832 -0.0102101  0.0642927 -0.0063002 -0.0001074
 1.1780972 -0.0137475 -0.2456221  0.0802784  0.0111594 -0.0100085  0.0557400 -0.0042963  0.0001096
 1.3351769 -0.0117308 -0.2348892  0.0740946  0.0110280 -0.0098793  0.0485780 -0.0032473 -0.0000202
 1.4922565 -0.0094033 -0.2258403  0.0688678  0.0108358 -0.0099167  0.0426724 -0.0024011 -0.0003134
 1.6493361 -0.0072340 -0.2176967  0.0640741  0.0106091 -0.0096386  0.0377382 -0.0019339 -0.0000147
 1.8064158 -0.0056673 -0.2101649  0.0597364  0.0102892 -0.0093163  0.0335970 -0.0012662  0.0000234
 1.9634954 -0.0040473 -0.2035009  0.0558765  0.0100708 -0.0088828  0.0301121 -0.0008722 -0.0000213
 2.1205750 -0.0021124 -0.1974732  0.0523878  0.0098934 -0.0086191  0.0271111 -0.0004404  0.0000594
 2.2776547 -0.0007914 -0.1917986  0.0492139  0.0096095 -0.0082218  0.0243653 -0.0001818  0.0000575
 2.4347343  0.0006393 -0.1864425  0.0466434  0.0093325 -0.0083130  0.0225351 -0.0004829  0.0000748
 2.5918139  0.0021031 -0.1809600  0.0441384  0.0091640 -0.0082775  0.0204935 -0.0003231  0.0001018
 2.7488936  0.0034725 -0.1767619  0.0418610  0.0088441 -0.0080617  0.0189353 -0.0001951 -0.0001350
 2.9059732  0.0040951 -0.1726789  0.0398819  0.0083524 -0.0072727  0.0171818 -0.0003709  0.0000665
 3.0630528  0.0045732 -0.1688759  0.0377048  0.0081518 -0.0068453  0.0159144 -0.0003056  0.0002539
 3.2201325  0.0053522 -0.1648689  0.0355858  0.0079060 -0.0067736  0.0142926 -0.0001175  0.0001220
 3.3772121  0.0062590 -0.1613295  0.0340348  0.0077560 -0.0065412  0.0133948 -0.0000613  0.0000222
 3.5342917  0.0070735 -0.1583808  0.0325479  0.0072951 -0.0059086  0.0123525 -0.0000813 -0.0001895
 3.6913714  0.0076691 -0.1555118  0.0309276  0.0070347 -0.0060259  0.0116384 -0.0001482  0.0001017
 3.8484510  0.0081449 -0.1523795  0.0294927  0.0068390 -0.0058692  0.0110931  0.0000679 -0.0001068
 4.0055306  0.0084175 -0.1494412  0.0283873  0.0065062 -0.0048298  0.0104033 -0.0003128 -0.0003119
 4.1626103  0.0087126 -0.1463712  0.0270257  0.0062429 -0.0049120  0.0098098 -0.0002809  0.0001450
 4.3196899  0.0090062 -0.1436238  0.0260376  0.0059835 -0.0048063  0.0091306 -0.0000612 -0.0001458
 4.4767695  0.0096107 -0.1413060  0.0248318  0.0057726 -0.0048894  0.0086035  0.0000184 -0.0004789
 4.6338492  0.0097805 -0.1384653  0.0237939  0.0053894 -0.0046078  0.0076856 -0.0000817 -0.0000957
 4.7909288  0.0096938 -0.1358708  0.0228826  0.0051192 -0.0042437  0.0072543 -0.0001054 -0.0000303
 4.9480084  0.0096941 -0.1332568  0.0219747  0.0048407 -0.0039183  0.0067676 -0.0000029  0.0002026
 5.1050881  0.0096141 -0.1309398  0.0212226  0.0045521 -0.0039280  0.0062548 -0.0001394  0.0001557
