#iter  Observable_U
1 0.5162801
2 0.5247359
3 0.5274943
4 0.5336017
5 0.5345869
6 0.5343397
7 0.5377129
8 0.5362143
9 0.5385352
10 0.5348701
11 0.5363158
12 0.5362047
13 0.5374388
14 0.5354149
15 0.5369446
16 0.5368022
17 0.5370156
18 0.5382702
19 0.5389961
20 0.5373015
21 0.5387883
22 0.5377872
23 0.5354689
24 0.5379330
25 0.5385423
26 0.5373198
27 0.5376046
28 0.5412471
29 0.5362273
30 0.5383862
31 0.5369151
32 0.5372019
33 0.5352419
34 0.5347653
35 0.5377990
36 0.5333902
37 0.5331779
38 0.5375746
39 0.5381067
40 0.5355940
41 0.5362802
42 0.5366406
43 0.5360821
44 0.5380981
45 0.5375792
46 0.5379774
47 0.5364955
48 0.5402580
49 0.5368267
50 0.5358291
51 0.5379169
52 0.5332050
53 0.5347838
54 0.5383186
55 0.5365165
56 0.5384170
57 0.5375365
58 0.5386660
59 0.5365562
60 0.5381255
61 0.5352338
62 0.5356605
63 0.5368363
64 0.5368472
