#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g13_Re     g13_Im     g12_nambu_Re     g12_nambu_Im     
 0.1495997 -0.1696459 -0.7383325  0.2185655  0.0953575  0.0145645 -0.0204819 -0.0044045 -0.0041278
 0.4487990 -0.1443791 -0.6351716  0.1572295  0.0697530  0.0059421 -0.0086277  0.0007866  0.0016126
 0.7479983 -0.1232897 -0.5658932  0.1215636  0.0600159  0.0040735 -0.0047406 -0.0008903  0.0003517
 1.0471976 -0.1034800 -0.5148037  0.0987159  0.0548934  0.0030506 -0.0028062 -0.0005287 -0.0007741
 1.3463969 -0.0866611 -0.4757425  0.0827776  0.0514235  0.0023848 -0.0016656  0.0015475  0.0006576
 1.6455962 -0.0712797 -0.4443612  0.0704373  0.0486797  0.0019186 -0.0009927 -0.0021815 -0.0003719
 1.9447955 -0.0585788 -0.4181966  0.0610244  0.0462943  0.0015440 -0.0005707  0.0021865  0.0001885
 2.2439948 -0.0471260 -0.3961732  0.0533315  0.0443451  0.0012281 -0.0003341 -0.0016924  0.0005218
 2.5431941 -0.0378526 -0.3763091  0.0472203  0.0424235  0.0010106 -0.0001885  0.0003468 -0.0009062
 2.8423934 -0.0304001 -0.3597393  0.0422029  0.0406680  0.0008105 -0.0000235  0.0009928  0.0001056
 3.1415927 -0.0237566 -0.3439446  0.0378212  0.0391199  0.0007340  0.0000294 -0.0010639  0.0014554
 3.4407920 -0.0180638 -0.3303224  0.0340338  0.0374442  0.0005893  0.0000653 -0.0000685 -0.0025304
 3.7399913 -0.0134006 -0.3179402  0.0307167  0.0361143  0.0004435  0.0000626  0.0010564  0.0017947
 4.0391906 -0.0097256 -0.3058120  0.0279808  0.0346844  0.0003829  0.0000938 -0.0010252 -0.0006205
 4.3383899 -0.0064888 -0.2950976  0.0255204  0.0332352  0.0003600  0.0001104  0.0001267 -0.0002717
 4.6375892 -0.0036112 -0.2850236  0.0232981  0.0320613  0.0002930  0.0000367  0.0004435  0.0003392
 4.9367885 -0.0016982 -0.2759229  0.0214701  0.0308627  0.0002278  0.0000842 -0.0008956 -0.0001457
 5.2359878  0.0007866 -0.2672381  0.0196142  0.0296743  0.0002033  0.0000547  0.0013401 -0.0000827
 5.5351871  0.0012952 -0.2582067  0.0181751  0.0286165  0.0002479  0.0000937 -0.0015242  0.0006290
 5.8343864  0.0030757 -0.2512074  0.0170104  0.0276647  0.0001177  0.0000980  0.0008939 -0.0008470
 6.1335857  0.0034851 -0.2435678  0.0157166  0.0267904  0.0001085  0.0000581  0.0001037  0.0005052
 6.4327850  0.0045469 -0.2365124  0.0145493  0.0259914  0.0001305  0.0000315 -0.0007482  0.0002432
 6.7319843  0.0046780 -0.2300069  0.0136892  0.0250448  0.0000262  0.0000339  0.0001901 -0.0009462
 7.0311836  0.0053655 -0.2233197  0.0126632  0.0242816  0.0000428  0.0000668  0.0002602  0.0016044
 7.3303829  0.0059342 -0.2170485  0.0119554  0.0234568  0.0000965  0.0000039 -0.0006279 -0.0008876
 7.6295822  0.0060307 -0.2119217  0.0111443  0.0227759  0.0000468  0.0000542  0.0003757  0.0004146
 7.9287815  0.0062374 -0.2058229  0.0104266  0.0220920  0.0001024  0.0000445 -0.0000904 -0.0000509
 8.2279808  0.0066283 -0.2011476  0.0098673  0.0214954  0.0000256  0.0000610 -0.0001555 -0.0001874
 8.5271801  0.0070486 -0.1960823  0.0092635  0.0209870  0.0000423 -0.0000156  0.0005725  0.0004026
 8.8263794  0.0067323 -0.1910058  0.0086798  0.0203673  0.0000294  0.0000208 -0.0009745 -0.0002020
 9.1255787  0.0069491 -0.1864554  0.0081785  0.0198338  0.0000290  0.0000246  0.0011252 -0.0001494
 9.4247780  0.0067361 -0.1820989  0.0078499  0.0193040 -0.0000029 -0.0000022 -0.0007589  0.0002537
 9.7239773  0.0063742 -0.1776378  0.0075105  0.0187964  0.0000322  0.0000216 -0.0000466 -0.0004339
 10.0231766  0.0063766 -0.1736252  0.0069757  0.0184479  0.0000017  0.0000171  0.0008120 -0.0000638
 10.3223759  0.0062126 -0.1702713  0.0067135  0.0177885  0.0000007  0.0000481 -0.0005810  0.0007501
 10.6215752  0.0061585 -0.1659678  0.0062193  0.0173458  0.0000291 -0.0000509  0.0002156 -0.0014184
 10.9207745  0.0061220 -0.1631442  0.0060495  0.0169959 -0.0000442  0.0000042  0.0000588  0.0011732
 11.2199738  0.0061663 -0.1591641  0.0055958  0.0167137 -0.0000263  0.0000207 -0.0003193 -0.0006086
