#iter  E
1 -22.6458284
2 -22.6179296
3 -22.6059239
4 -22.6021221
5 -22.5942055
6 -22.5973033
7 -22.5967603
8 -22.5958622
9 -22.5960910
10 -22.5917099
11 -22.5936359
12 -22.5924360
13 -22.5994770
14 -22.5946165
15 -22.5935513
16 -22.5956539
17 -22.5916546
18 -22.5936526
19 -22.5950073
20 -22.5937320
21 -22.5929338
22 -22.5969265
23 -22.5936220
24 -22.5948245
25 -22.6002912
26 -22.5967475
27 -22.5982300
28 -22.5959661
29 -22.5994699
30 -22.5981690
31 -22.5941654
32 -22.5968431
33 -22.5853649
34 -22.5944744
35 -22.5920986
36 -22.5978240
37 -22.5970316
38 -22.5972353
39 -22.5938013
40 -22.5927935
41 -22.5893388
42 -22.5942094
43 -22.5886518
44 -22.5957765
45 -22.5946664
46 -22.5924935
47 -22.5933451
48 -22.5916413
49 -22.5939695
50 -22.5931423
51 -22.5940468
52 -22.5927606
53 -22.5847602
54 -22.5912865
55 -22.5908513
56 -22.5935783
57 -22.5932111
58 -22.5965986
59 -22.5926968
60 -22.5951637
61 -22.5960200
62 -22.5903367
63 -22.5951295
64 -22.5954666
