#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1495997  0.3110924 -0.1506159  0.0537260 -0.6239918  0.0062219  0.0006564 -0.3503889 -0.2459217
 0.4487990  0.2338175 -0.1841520  0.0099567 -0.4638076  0.0011067 -0.0001154 -0.2787764 -0.2380850
 0.7479983  0.1831815 -0.1886622 -0.0001119 -0.3785808  0.0003964  0.0000963 -0.2282429 -0.2284229
 1.0471976  0.1506627 -0.1849032 -0.0014588 -0.3247637  0.0002935 -0.0001570 -0.1909201 -0.2193683
 1.3463969  0.1270717 -0.1778088  0.0001412 -0.2868539  0.0000565 -0.0000753 -0.1618253 -0.2101788
 1.6455962  0.1102415 -0.1696642  0.0031367 -0.2600782  0.0002279  0.0000469 -0.1398632 -0.2018420
 1.9447955  0.0986336 -0.1620789  0.0047822 -0.2379193 -0.0002079  0.0000321 -0.1213889 -0.1944963
 2.2439948  0.0886826 -0.1564487  0.0076167 -0.2201920  0.0000717  0.0001357 -0.1053433 -0.1868035
 2.5431941  0.0822209 -0.1502386  0.0086950 -0.2058920 -0.0000575 -0.0000316 -0.0925541 -0.1802775
 2.8423934  0.0760998 -0.1457888  0.0102150 -0.1943624  0.0000000  0.0002497 -0.0820085 -0.1740857
 3.1415927  0.0707360 -0.1409749  0.0115125 -0.1836359  0.0001045 -0.0000833 -0.0724093 -0.1674936
 3.4407920  0.0655215 -0.1371232  0.0118831 -0.1747125  0.0000382  0.0001664 -0.0648011 -0.1615432
 3.7399913  0.0614471 -0.1329834  0.0125757 -0.1663032  0.0001221 -0.0003023 -0.0573756 -0.1560904
 4.0391906  0.0585415 -0.1288423  0.0129404 -0.1588615 -0.0000274  0.0001247 -0.0517413 -0.1508287
 4.3383899  0.0546636 -0.1256863  0.0131769 -0.1524649  0.0002012  0.0000094 -0.0465895 -0.1454957
 4.6375892  0.0515722 -0.1223179  0.0134362 -0.1466289  0.0000316 -0.0000996 -0.0417887 -0.1412401
 4.9367885  0.0492934 -0.1195385  0.0132639 -0.1410167 -0.0000391 -0.0000073 -0.0373744 -0.1364081
 5.2359878  0.0465459 -0.1167009  0.0130675 -0.1356113 -0.0000123 -0.0001327 -0.0340458 -0.1323641
 5.5351871  0.0440395 -0.1134251  0.0127034 -0.1312822  0.0000462  0.0000523 -0.0311579 -0.1276249
 5.8343864  0.0415652 -0.1104969  0.0125741 -0.1269673  0.0000293  0.0000519 -0.0285953 -0.1244431
 6.1335857  0.0399719 -0.1076070  0.0120424 -0.1227513 -0.0002164 -0.0000976 -0.0257091 -0.1205705
 6.4327850  0.0380444 -0.1053328  0.0122494 -0.1193003 -0.0000086 -0.0000928 -0.0245097 -0.1171406
 6.7319843  0.0358088 -0.1032606  0.0117834 -0.1151918 -0.0000743  0.0001614 -0.0224543 -0.1141584
 7.0311836  0.0343293 -0.1002422  0.0109643 -0.1121575  0.0001753  0.0000435 -0.0208303 -0.1110025
 7.3303829  0.0324652 -0.0989160  0.0113307 -0.1088756 -0.0001301  0.0000837 -0.0185046 -0.1081835
 7.6295822  0.0310839 -0.0959798  0.0098289 -0.1055067 -0.0000026  0.0000242 -0.0174203 -0.1051859
 7.9287815  0.0295839 -0.0939960  0.0102431 -0.1030924 -0.0000730 -0.0002271 -0.0161691 -0.1023305
 8.2279808  0.0287883 -0.0920279  0.0093838 -0.1005213 -0.0000438  0.0000743 -0.0147467 -0.0997042
 8.5271801  0.0271680 -0.0905848  0.0099460 -0.0972671  0.0001240 -0.0001569 -0.0138491 -0.0975635
 8.8263794  0.0253544 -0.0878813  0.0092670 -0.0947404 -0.0001220  0.0001343 -0.0124892 -0.0950016
 9.1255787  0.0249038 -0.0860217  0.0089702 -0.0925905  0.0001046 -0.0000419 -0.0121634 -0.0923914
 9.4247780  0.0231416 -0.0847103  0.0088629 -0.0906891  0.0000940 -0.0000081 -0.0113862 -0.0905781
 9.7239773  0.0219521 -0.0826214  0.0085390 -0.0884905  0.0001015  0.0000974 -0.0103068 -0.0878142
 10.0231766  0.0221553 -0.0813583  0.0085772 -0.0862807 -0.0000326 -0.0000626 -0.0101418 -0.0861346
 10.3223759  0.0207103 -0.0800154  0.0075778 -0.0838629 -0.0002788  0.0002101 -0.0097232 -0.0842002
 10.6215752  0.0197965 -0.0777168  0.0075304 -0.0828087  0.0001920  0.0000790 -0.0089211 -0.0823784
 10.9207745  0.0189139 -0.0762776  0.0070326 -0.0805464 -0.0002785  0.0001852 -0.0085309 -0.0805102
 11.2199738  0.0182976 -0.0743200  0.0069437 -0.0787026  0.0001796 -0.0001327 -0.0073646 -0.0785074
 11.5191731  0.0180030 -0.0736349  0.0066594 -0.0772981 -0.0000028  0.0001135 -0.0077957 -0.0770809
 11.8183724  0.0169711 -0.0726389  0.0069624 -0.0754031  0.0001325 -0.0001174 -0.0073692 -0.0756917
 12.1175717  0.0164195 -0.0705125  0.0065854 -0.0738949 -0.0000772  0.0000817 -0.0068063 -0.0741852
 12.4167710  0.0157095 -0.0698421  0.0061494 -0.0724514  0.0000546 -0.0000584 -0.0066109 -0.0728965
 12.7159703  0.0150629 -0.0684244  0.0064152 -0.0711858 -0.0000026  0.0001053 -0.0061872 -0.0716946
 13.0151696  0.0145035 -0.0670676  0.0054214 -0.0697514 -0.0002146 -0.0000708 -0.0058229 -0.0703899
 13.3143689  0.0139045 -0.0663680  0.0056410 -0.0688595 -0.0001411 -0.0001809 -0.0057665 -0.0684031
