#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 0.1495997  0.3108731 -0.1494461  0.0547387 -0.6267204 -0.0010567  0.0000823 -0.3503142 -0.2455802
 0.4487990  0.2335578 -0.1835309  0.0096235 -0.4642051 -0.0000975 -0.0000427 -0.2786249 -0.2375524
 0.7479983  0.1830161 -0.1880600 -0.0003798 -0.3783930  0.0000964 -0.0000154 -0.2281842 -0.2283029
 1.0471976  0.1496596 -0.1838041 -0.0012897 -0.3243768 -0.0000920 -0.0000473 -0.1906546 -0.2190762
 1.3463969  0.1267424 -0.1775566  0.0006143 -0.2876884 -0.0000626  0.0000273 -0.1624902 -0.2102119
 1.6455962  0.1104315 -0.1701212  0.0024432 -0.2597509  0.0002091  0.0000746 -0.1394617 -0.2019255
 1.9447955  0.0980036 -0.1630274  0.0049038 -0.2371274  0.0001307 -0.0000176 -0.1209378 -0.1941275
 2.2439948  0.0886388 -0.1558123  0.0070595 -0.2204986  0.0000807 -0.0001210 -0.1057958 -0.1867399
 2.5431941  0.0811806 -0.1509398  0.0089406 -0.2061269  0.0001193  0.0000242 -0.0928546 -0.1801316
 2.8423934  0.0753082 -0.1455064  0.0105005 -0.1941523 -0.0001770 -0.0001947 -0.0820535 -0.1732208
 3.1415927  0.0704965 -0.1405720  0.0116564 -0.1836912  0.0001094  0.0000449 -0.0728160 -0.1673812
 3.4407920  0.0662031 -0.1370600  0.0119517 -0.1747111 -0.0000641  0.0001244 -0.0644329 -0.1616309
 3.7399913  0.0614542 -0.1325378  0.0127133 -0.1664416  0.0000623  0.0000825 -0.0572620 -0.1558601
 4.0391906  0.0575308 -0.1286816  0.0133200 -0.1589645 -0.0000223 -0.0000898 -0.0512016 -0.1507421
 4.3383899  0.0550628 -0.1254772  0.0132692 -0.1522473 -0.0000296  0.0000871 -0.0464558 -0.1457864
 4.6375892  0.0520363 -0.1218977  0.0126923 -0.1464861 -0.0000992  0.0000017 -0.0424372 -0.1410067
 4.9367885  0.0489969 -0.1196232  0.0125032 -0.1417619  0.0001325  0.0000178 -0.0379664 -0.1364511
 5.2359878  0.0458641 -0.1157560  0.0127372 -0.1360479  0.0000822  0.0000465 -0.0343975 -0.1326323
 5.5351871  0.0437381 -0.1128339  0.0130526 -0.1316626 -0.0001147  0.0000582 -0.0314957 -0.1283920
 5.8343864  0.0414456 -0.1098582  0.0125643 -0.1267944  0.0000411 -0.0000208 -0.0277050 -0.1248018
 6.1335857  0.0396807 -0.1073668  0.0122424 -0.1227355  0.0000630  0.0000239 -0.0259658 -0.1210634
 6.4327850  0.0380132 -0.1048274  0.0116535 -0.1187062  0.0001184 -0.0000331 -0.0238376 -0.1174181
 6.7319843  0.0359173 -0.1023786  0.0113625 -0.1153819  0.0000015  0.0001213 -0.0220783 -0.1137807
 7.0311836  0.0345840 -0.1003581  0.0110873 -0.1126342 -0.0000130 -0.0001440 -0.0200220 -0.1106709
 7.3303829  0.0327127 -0.0986238  0.0107795 -0.1087590 -0.0000408  0.0000184 -0.0185164 -0.1080739
 7.6295822  0.0308402 -0.0960482  0.0102993 -0.1062882  0.0000654 -0.0000500 -0.0172801 -0.1049184
 7.9287815  0.0294286 -0.0943468  0.0098737 -0.1028568 -0.0001433 -0.0000275 -0.0158400 -0.1022994
 8.2279808  0.0279562 -0.0917639  0.0098353 -0.1003006  0.0001102  0.0000862 -0.0146684 -0.0995381
 8.5271801  0.0268933 -0.0896751  0.0092300 -0.0976294 -0.0000367 -0.0000410 -0.0141090 -0.0972989
 8.8263794  0.0261585 -0.0880817  0.0093236 -0.0953384 -0.0000380  0.0001079 -0.0130808 -0.0946988
 9.1255787  0.0246116 -0.0865050  0.0085342 -0.0929706  0.0000009 -0.0000997 -0.0119585 -0.0921079
 9.4247780  0.0237428 -0.0839842  0.0084787 -0.0907925  0.0000164 -0.0000587 -0.0113010 -0.0901978
 9.7239773  0.0226002 -0.0831135  0.0079465 -0.0884846  0.0001250 -0.0000557 -0.0109176 -0.0883035
 10.0231766  0.0215578 -0.0814095  0.0081760 -0.0865350  0.0000909  0.0001273 -0.0101345 -0.0860554
 10.3223759  0.0206369 -0.0790513  0.0078954 -0.0843039  0.0000592 -0.0000464 -0.0092952 -0.0846187
 10.6215752  0.0198784 -0.0783403  0.0082557 -0.0824416 -0.0000786 -0.0000535 -0.0089974 -0.0821577
 10.9207745  0.0196798 -0.0766605  0.0073193 -0.0808307  0.0000255 -0.0001621 -0.0079428 -0.0809034
 11.2199738  0.0184417 -0.0751035  0.0065412 -0.0791142 -0.0001416  0.0000406 -0.0076506 -0.0787751
 11.5191731  0.0175472 -0.0732524  0.0061679 -0.0770425  0.0000333  0.0000244 -0.0073998 -0.0777911
 11.8183724  0.0168718 -0.0722512  0.0064858 -0.0751577 -0.0000847  0.0000805 -0.0075428 -0.0757630
 12.1175717  0.0162854 -0.0704357  0.0058630 -0.0746128 -0.0000903  0.0000757 -0.0066959 -0.0739498
 12.4167710  0.0152119 -0.0694895  0.0052523 -0.0724095  0.0002225  0.0000447 -0.0063003 -0.0729420
