#iter  k
1 37.8380145
2 38.5337810
3 38.7505734
4 38.9430870
5 38.9995776
6 38.9981580
7 39.0437631
8 39.0725313
9 39.0661884
10 39.0520681
11 39.0314341
12 38.9965496
13 39.0108841
14 39.0187970
15 39.0843749
16 39.0861359
17 39.1002363
18 39.0736819
19 39.1083205
20 39.1209904
21 39.0962326
22 39.0541583
23 39.0357577
24 39.0255106
25 39.0038078
26 39.0239176
27 39.0129368
28 39.0128403
29 39.0047068
30 38.9890447
31 39.0465880
32 39.0657087
33 39.1063856
34 39.1404873
35 39.0933086
36 39.0662289
37 39.0361455
38 39.0216022
39 39.0454629
40 39.0591319
41 39.0780111
42 39.0760684
43 39.1091113
44 39.1009846
45 39.0760611
46 39.0835254
47 39.0479507
48 39.1000839
49 39.0713240
50 39.0689882
51 39.1026922
52 39.1064163
53 39.1353599
54 39.1279895
55 39.1120385
56 39.0888893
57 39.0604890
58 39.0743944
59 39.0878386
60 39.0854779
61 39.0979447
62 39.1313860
63 39.1374034
64 39.0749697
